sent,codes,test
"""Note : after exercising a bit that code, I found out that you can't reliably delete the file right after reading it with this method, which may be a non issue in some case, but not mine.May it be in relation with this issue : URL_http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=4715154 ?I finally went with the proposition of Jon Skeet which doesn't suffer from this bug.Anyways, I just wanted to give the info, for other people, just in case...""","[""'Usability'""]",0.148304484
"""See full description here: URL_http://stackoverflow.com/q/5221524/828757 [Idiomatic-way-to-convert-an-InputStream-to-a-String-in-Scala] .""","[""'Documentation'""]",0.147196965
""" Java Logging Commons Logging Log4j SLF4j Logback .""","[""'Others'""]",0.253133071
"""The problem is that even testing the simplest possible use-case has required several questions here on SO, and quite a bit of hunting around.""","[""'Usability'""]",0.278328401
"""Is this the case ?""","[""'Others'""]",0.630202293
"""First, we tried to look at how the business layer alone could be exposed to other web apps, and Spring offers JMX wrapping at the price of a tiny amount of XML.""","[""'Others'""]",0.969856293
"""Cipher IVs and key-derivation salts serve different purposes.""","[""'Others'""]",0.89304277
"""The recipient generates a CODETERM8 in exactly the same way, using the same salt and password.""","[""'Usability'""]",0.646166676
"""Because of Apache's support and reputation and the widely-used parent project Lucene it must be a very good choice.""","[""'Usability'"", ""'Community'""]",0.418746024
"""URL_http://java.sun.com/javase/6/docs/api/java/lang/StringBuilder.html [CODETERM2] is a mutable class that can be appended to, characters replaced or removed and ultimately converted to a CODETERM3 CODETERM4 is the original synchronized version of CODETERM5 You should prefer CODETERM6 in all cases where you have only a single thread accessing your object.""","[""'Others'""]",0.180240778
"""It looks like this: CODESNIPPET_JAVA1 .""","[""'Others'""]",0.226687319
"""I know of no such implementations.""","[""'Others'""]",0.288523953
"""So, using the BufferedInputStreamReader is a much better in this like case.""","[""'Usability'""]",0.392904412
"""Does String x ""A"" + ""B""; really compile to be a StringBuilder?""","[""'Others'""]",0.049999413
"""Can you update your original link?""","[""'Documentation'""]",0.911660249
"""It could be problem with nested folders.""","[""'Others'""]",0.745479061
"""I am assuming there is a fudge factor anyway.""","[""'Others'""]",0.025297379
"""I think CR/LF consistency is entirely unrelated issue.""","[""'Usability'""]",0.968548699
"""HttpURLConnection instances are significantly cheaper to create than due to the fact that they share one static JRE wide pool of connections.""","[""'Performance'""]",0.677506871
"""Open questions that shouldn't be open obviously cause so much more harm than closed questions that shouldn't be closed, so let's be thankful that people err on the side of closing questions.</sarcasm>.""","[""'Community'""]",0.349301658
"""Please add an explanation rather than just dumping code as your answer.""","[""'Usability'""]",0.085402257
"""Example: In Java, you would say str.charAt(8);In C#, you would say str[8]; .""","[u""'Usability'""]",0.216408777
"""So you have to ask yourself: Are all necessary platforms supported?""","[""'Portability'""]",0.808477637
"""Avoid NIO unless you have a good reason to use it.""","[""'Usability'""]",0.545374274
"""This should work:String read null; StringBuffer sb new StringBuffer();while((read br.readLine()) != null) { sb.append(read);}.""","[""'Usability'""]",0.527636754
"""Hope that helps, if you need further advice just ask Michael .""","[""'Community'""]",0.913246875
"""I would rather prefer a solution without adding additional libraries as mentioned in the post below: URL_http://stackoverflow.com/a/6938341/411951 .""","[""'Usability'""]",0.954335227
"""but for the 98% case, I think it's pretty solid.""","[""'Performance'""]",0.558090612
""" A CODETERM9 with the message ""Illegal key size or default parameters"" means that the cryptography strength _is_ limited; the unlimited strength jurisdiction policy files are not in the correct location.""","[""'Security'""]",0.701773419
"""When we reinvent the wheel, we work twice as hard yet get to the finish line much later.""","[""'Performance'""]",0.059181632
"""Bring your javascript and java code.""","[""'Others'""]",0.28294263
"""HTMLUnit will work, but for me it has seemed to have limited support for Javascript.""","[""'Usability'""]",0.911110727
"""But then a new project came along, with more complex security requirements.""","[""'Usability'""]",0.774760898
"""It's working great!.""","[""'Usability'""]",0.573526461
"""My impression is that if the underlying model uses lazy loading, then that's enough.""","[""'Usability'""]",0.780809703
"""Quick and easy: CODESNIPPET_JAVA1 .""","[""'Usability'""]",0.43819532
"""I still get unexpected errors when consuming entity content when using CODETERM1 .""","[""'Bug'""]",0.851755727
"""Over 300kb for this jar??""","[""'Usability'""]",0.23082999
"""You may need security, persistence, basic user management, etc.""","[""'Security'""]",0.66399499
"""Or else, you can stick with the above < 30 lines to perform a role-based security check.""","[""'Security'""]",0.098389252
"""While not flawless, have you considered the standard URLConnection/HTTPUrlConnection ?""","[""'Usability'""]",0.25857602
"""Can anyone please suggest a suitable nlp library for this??""","[u""'Community'""]",0.068136514
"""I haven't evaluated dom4j by myself but just wanted to know - Do java has other (Good) open source xml parsing library?""","[""'Others'""]",0.426570217
"""You can see how this degenerates to of re-allocations and copies which is what you really are trying to avoid using CODETERM16 in the first place.""","[""'Performance'""]",0.566352829
"""NekoHTML is based on Xerces, and provides a simple adaptable URL_http://nekoht ml.sourceforge.net/javadoc/org/cyberneko/html/parsers/SAXParser.html [SAXParser] which implements URL_http://java.sun.com/javase/6/docs/api/org/xml/sax/XMLReader.html [XMLReader] JavaSE interface.""","[""'Compatibility'"", ""'Usability'""]",0.876859124
""" swing occupies less memory space.""","[""'Performance'""]",0.896226966
"""For example, how do you hash+salt a password and base64 encode it in Java or Spring Security?""","[""'Security'""]",0.830576819
"""I cannot comment other entries yet, so I'll just leave it here.""","[""'Others'""]",0.662312982
"""Apache Commons Lang (probably useful enough to be on the classpath of any non- trivial project) has URL_http://commons.apache.org/lang//api-2.4/org/apache/co mmons/lang/StringUtils.html#repeat%28java.lang.String,%20int%29 [StringUtils.repeat()] : CODESNIPPET_JAVA1 .""","[""'Usability'""]",0.291244309
"""GFv3 is designed to be very modular; services start on demand, there is an update center repository, etc.""","[""'Usability'""]",0.202933734
"""But these things are not working in a restful web service.""","[""'Others'""]",0.761128456
"""For example, you can add an annotation to secure individual methods (for example: you can't run this method unless you are an admin), individual pages (for example: you can't load this page unless you are an admin), and URL patterns (you must be admin to access anything containing /admin/* in the url).""","[""'Security'""]",0.620668398
"""However, this has shrunk dramatically over the last several years due to more optimized JVMs, faster machines, and (I presume) optimization of the Swing internals.""","[""'Performance'""]",0.908566596
"""But when we have to spend time reinventing the wheel just because we have misplaced ideas about including a common, reusable, tried and tested utility, we're giving up time we could be spending furthering our project's goals.""","[""'Usability'""]",0.959870204
"""It enables you to whip up a working UI quite quickly, as long as it is IDE- like (with tables, trees, native controls, etc).""","[""'Performance'""]",0.480015569
"""IVs allow one reuse the same key for multiple messages.""","[""'Others'""]",0.356662196
"""Here's how to find the bug, using Eclipse.""","[""'Bug'""]",0.703131516
"""Check out URL_http://code.google.com/p/resting [Resting] .""","[""'OnlySentiment'""]",0.601202328
