thread,tid,sent,ManualLabel,codes,stakeholder,signal,intent,action
15936368,15936368:1,"""JAXB Bindings File Sets @XmlElement type to String instead of XMLGregorianCalendar.""",o,"[""'Usability'""]",,used,,
15936368,15936368:2,"""I'm trying to create an CODETERM1 that takes in an CODETERM2 and outputs an CODETERM3 .""",o,"[""'Others'""]",,used,,
15936368,15936368:3,"""The purpose is simlply to remove timezone data from the element when unmarshalling data.""",o,"[""'Others'""]",,used,,
15936368,15936368:4,"""It looks like this: CODESNIPPET_JAVA1 .""",o,"[""'Others'""]",,used,,
15936368,15936368:5,"""This works fine for the following code: CODESNIPPET_JAVA2 .""",p,"[""'OnlySentiment'""]",,used,,
15936368,15936368:6,"""Unfortunately, when I generate the code using a CODETERM4 file, the above code looks like this: CODESNIPPET_JAVA3 .""",n,"[""'Others'""]",,used,,
15936368,15936368:7,"""It sets the type to CODETERM5 , so my above method doesn't work.""",n,"[""'Usability'""]",,used,,
15936368,15936368:8,"""The type CODETERM6 setting is overriding the CODETERM7 type that it should be.""",n,"[""'Others'""]",,used,,
15936368,15936368:9,"""I can manually change it, but I'd rather not have to remember to update it every time the jaxb files are regenerated.""",o,"[""'Others'""]",,used,,
15936368,15936368:10,"""Does anyone know if there's an option to manually set the CODETERM8 type or have it ignored?""",o,"[""'Others'""]",,,,
15936368,15936368:11,"""Here is the relevant portion of the CODETERM9 file: CODESNIPPET_JAVA4 .""",o,"[""'Others'""]",,,,
15936368,15936368:12,"""It might be that the XPath term in your Binding is not finding the required element.""",n,"[""'Others'""]",,clarification,,
15936368,15936368:13,"""You don't need the dot since // searches in the entire document.""",o,"[""'Usability'""]",,clarification,,
15936368,15936368:14,"""And more importantly try surrounding the element name with ''.""",o,"[""'Others'""]",,clarification,,
15936368,15936368:15,"""Resulting term should look like this: node=""//xs:element[@name='bar-date']"".""",o,"[""'Others'""]",,clarification,,
15936368,15936368:16,"""What does the XSD look like?""",o,"[""'Others'""]",,clarification,,
15936368,15936368:17,"""Is the bar-date element defined as xs:string or a complexType?""",o,"[""'Others'""]",,clarification,,
15936368,15936368:18,"""maybe i'm wrong, but i think marshall/unmarshall pursuit a different goal, what you are trying to do is conceptually incorrect.""",n,"[""'Usability'""]",,clarification,,
15936368,15936368:19,"""maybe the timezone removal itself is incorrect, why would someone do it?""",n,"[""'Usability'""]",,clarification,,
15936368,15936368:20,"""Please provide the xsd, without it its difficult to guess the issue, or recreate it.""",n,"[""'Others'""]",User-helper,clarification,,
15936368,15936368:21,"""the bar-date element should be defined with a xsd:date type.""",o,"[""'Others'""]",,clarification,,
15936368,15936368:22,"""Is this the case ?""",o,"[""'Others'""]",,clarification,,
15936368,15936368:23,"""sorry, too long for a comment... i can't understand: 1. why the hell are you using CODETERM1 ?""",n,"[""'Usability'""]",User-helper,clarification,,
15936368,15936368:24,"""2. why should you CODETERM2 / CODETERM3 ( CODETERM4 / CODETERM5 ) to the very same data structure?""",n,"[""'Others'""]",,clarification,,
15936368,15936368:25,"""3. why should you remove timezone??""",o,"[""'Others'""]",,clarification,,
15936368,15936368:26,"""and 1. i use straight and simple CODETERM6 2.""",p,"[""'Usability'""]",,clarification,,
15936368,15936368:27,"""CODETERM7 / CODETERM8 should always involve CODETERM9 s (at least for XML) 3. i really don' see a good reason to arbitrarily remove a piece of a date representation.""",n,"[""'Usability'""]",,clarification,,
15936368,15936368:28,"""maybe you want to serialize it in an absolute way.""",o,"[""'Others'""]",,clarification,,
15936368,15936368:29,"""however CODESNIPPET_JAVA1 .""",o,"[""'Others'""]",,clarification,,
2129375,2129375:1,"""HTML/XML Parser for Java.""",o,"[""'Others'""]",,,,
2129375,2129375:2,"""What HTML parsers have the following features: Fast Thread-safe Reliable and bug-free Parses HTML and XML Handles erroneous HTML Has a DOM implementation Supports HTML4, JavaScript, and CSS tags Relatively simple, object-oriented API What parser you think is better?""",o,"[""'Bug'"", ""'Performance'"", ""'Usability'""]",,alternative choices,,
2129375,2129375:3,"""Thank you.""",p,"[""'OnlySentiment'""]",,,,
2129375,2129375:4,"""what do you mean by ""support HTML4, javascript and CSS"" ?""",o,"[""'Others'""]",,clarification,,
2129375,2129375:5,"""A parser is just that, a parser, it won't interpret your page.""",o,"[""'Usability'""]",,clarification,,
2129375,2129375:6,"""If you want to simulate a browser, please rephrase your question.""",n,"[""'Others'""]",User-clarifier,clarification,,
2129375,2129375:7,"""No.""",n,"[""'Others'""]",,clarification,,
2129375,2129375:8,"""Some parsers do not understand things like CSS.""",n,"[""'Usability'""]",,clarification,,
2129375,2129375:9,"""This is what I mean.""",o,"[""'Others'""]",,clarification,,
2129375,2129375:10,"""If CSS is in a <style> tag, it will be interpreted as text.""",o,"[""'Community'""]",,clarification,,
2129375,2129375:11,"""Check out URL_http://web-harvest.sourceforge.net/ [Web-Harvest] .""",o,"[""'OnlySentiment'""]",,suggestion,,
