label,data
"Unfortunately, when I generate the code using a CODETERM4 file, the above code looks like this: CODESNIPPET_JAVA3 .",[Bug]
Is this the case ?,[Bug]
"Its both a library you can use and a data extraction tool, which sounds to me thats exactly what you want to do.",[Bug]
which features do they have?,[Bug]
Apache Tika is an excellent suggestion.,[Bug]
vtd-xml will be the one to beat for performance/memory usage and ease of use.,[Bug]
"2005 is not Jurassic period and I think you shouldnt dismiss a library (in Java, at least) because it hasnt been updated for 5 years.",[Bug]
You can use java.lang.system.out.println.,[Bug]
and then waiting for a more descriptive NullPointerException that tells me which line to look for.,[Bug]
"I would assume, that you can do something similar in netbeans or eclipse.",[Bug]
Fields dont play nicely with reflection because most reflection apis are built upon a property inspection methodology that conforms to the Javabean contract.,[Bug]
You do this bu selecting the code and use the contet menu to add a new watch.,[Bug]
Secure Debugging for Production JVMs.,"[Bug, Performance]"
"No development required, all done using sshd, ssh and/or putty.","[Bug, Usability]"
Put the production machine behind a firewall that blocks access to the debugging port(s).,[Bug]
Anything similar in Guava?,[Bug]
"which java http client library is easy to use for programmatically doing posts, setting cookies and maybe ajax?",[Bug]
"Unless your clients are real servers (in which case youre really the client), have them contact you and send a response to mimic push.","[Bug, Usability]"
The idea here is to keep an open connection to the server at all times that is just waiting for the server to do something with it.,[Bug]
"If a certain amount of delay (at minimum in the order of a few seconds) is acceptable, polling is less of an abuse of the HTTP protocol.",[Bug]
Not to mention the jars are up to 700KB.,[Bug]
"@Alex B: HttpComponents are being used in all sorts of different applications randing from simple URL fetchers to complex transports and web crawlers with different, often conflicting requirements.",[Bug]
Complexity of HttpClient API simply reflects the complexity of its problem domain.,[Bug]
"Just ran a quick test: fetching from localhost, very small document (150 bytes) x 5000 times takes roughly 10 seconds with HttpClient (4.1) and under 2 seconds with HUC.","[Bug, Usability]"
The examples for the two modules - URL_http://hc.apache.org/httpcomponents-core-ga/examples.html [HttpCore] and URL_http://hc.apache.org/httpcomponents-client-ga/examples.html [HttpClient] will get you started right away.,"[Bug, Performance]"
"The new try-with-resources will auto-close the Scanner, which will auto-close the InputStream.",[Bug]
"If you write it yourself, it will probably be non-standard and you will have to maintain it yourself.",[Bug]
"This can be a daemon app (or Windows system process), or it can be a Unix-style superserver thats configured to load and run the actual file-copy app when someone contacts the listening port.",[Bug]
The byte length depends on the character encoding used.,[Bug]
CODESNIPPET_JAVA1 .,[Bug]
Quite interesting.,[Bug]
EXE files are not text.,[Bug]
Then you might get an available count of less than the file size.,[uBug]
"Joking aside, Ive NEVER had a problem with it so Im just going to wave my hands like I just dont care (because I dont).",[Bug]
"To answer the question asked: javax.crypto deals with low level crypto: encryption, decryption, and hashing.",[Bug]
Its where the Cipher class is defined.,[uBug]
Check out URL_http://www.keyczar.org/ [keyczar] .,[Bug]
The URL_http://www.hoozi.com/Articles/AESEncryption.htm [algorithm] is simple.,[uBug]
You can find that link also from URL_http://www.schneier.com /blowfish-download.html [Bruce-Schneiers-website] (the creator of both algorithms).,[Bug]
"Thanks Michael, after trying out many things in JCE, I finally settled for bouncycastle.","[Bug, Portability]"
"In a JDK, they should be placed under CODETERM10 Based on the problem description, it sounds like the policy files are not correctly installed.",[Bug]
@Nick: Read PKCS ,[Bug]
Does this usage of SecureKey and PBEKeySpec produce a Password-based key that is RFC2898-compliant?,"[Bug, Usability]"
"Id prompt the user in the client application for the password, and derive the key using the stored salt and iterations.",[Bug]
"Second, enabling jasypt is a non-goal.",[Bug]
I cant recommend it as an example.,[Bug]
I would suggest using AES-128.,[Bug]
DarkSquids method is vulnerable to password attacks and also doesnt work unless your plaintexts size is a multiple of AESs block size (128 bits) because he left out padding.,[Bug]
You appear to be sharing the same fixed salt value between all key instances.,[Bug]
NLP Library in java.,[Bug]
URL_http://lucene.apache.org/java/docs/index.html [ URL_http://lucene.apache.org/java/docs/index.html ] .,[Bug]
"And are you willing to use any libraries at all, such as machine learning?","[Bug, Usability]"
"Well if you know what you are doing, then its not that hard at all.",[Bug]
You can find a complete overview on methods in URL_http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.164.2388&rep=rep1&type=pdf [this-survey] .,[Bug]
"URL_http://alias-i.com/lingpipe/ [LingPipe] , URL_http://opennlp.sourceforge.net/projects.html [OpenNLP] , etc.",[Bug]
I swear Natty handles pretty much everything.,"[Bug, Community]"
"It was though, like I read somewhere, sort of something that you set up once near the beginning of the develoepment of the app, and then pray for it to keep working till the end, because if you have to go fix it youll probably have forgotten most of the stuff you had to parameter.",[Bug]
"However, since Java EE is build on top of Java SE, a few modules from JAAS was reuses in Java EE security such as the LoginModules and Callbacks.",[Bug]
The issues you found with the respective approaches you mention.,[Bug]
"If you dont like RMI, Spring offers a few other remoting options - Hessian, Burlap, and HttpInvoker (Springs custom remoting solution - Java serialization over HTTP).",[Bug]
"You could, setup a third business logic server that has a remote api which your two web apps could call.","[Bug, Performance]"
4.,[Bug]
 Redis (although Redis doesnt run flexibly well on Windows OS).,[Bug]
"If I were in your shoes, Id go with this option just because I know that it would show great performance, there are mature tools for working with MySql, many people have experience with it and at any time you can easily use all its relational potential if you eventually decide to go back to RDBMS solutions.",[Bug]
It is not bloated.,[Bug]
Your first criteria might be a little bit subjective.,[Bug]
Hector is mavenized.,[Bug]
URL_http://mevivs.wordpress.com/2012/02/13/how-to-crud-and-jpa-association- handling-using-kundera/ [ URL_http://mevivs.wordpress.com/2012/02/13/how-to-crud - and-jpa-association-handling-using-kundera/] Use JPA over NoSql .,[Bug]
Some of the links I found prior to posting.,"[uBug, uCommunity]"
Few people develop in AWT anymore.,[Bug]
"Although Oracle has much reduced the work on Swing (apparently, seen from an outsider), the new Swing JavaFX (I dont like this way to call it actually because it has almost no commonalities with Swing) is, from my point of view, not ready yet for primetime.",[Bug]
Personally i dont like SWT.,[Bug]
This made Swing unfortunately slow to catch on.,[Bug]
"Finally, you might also want to check out SWT (the GUI toolkit used for Eclipse, and an alternative to both AWT and Swing), which is somewhat of a return to the AWT idea of accessing native Widgets through Java.",[Bug]
Wow.,[Bug]
3.,"[Security, Bug]"
"The server ought to re-verify what has been sent by the applet (client), for the message could have been modified in transit.",[Bug]
"For instance, messages sent by the client, may be digitally signed by the applet, with the keys being managed in per-user USB drives (containing the private keys).","[Bug, Usability]"
 ...?,"[Bug, Usability]"
"Signup, 2.",[Bug]
Signin My questions/confusions are: 1.,"[Bug, Usability]"
OAuth2 is a great approach to ensure that each logged in user receives their own access token that you can track and manage.,[Bug]
Glad it was able to get you started.,"[Bug, Usability]"
Open Source Iris Scanning Library in Java.,[Bug]
"I havent used Java libraries that just do that entire work you describe, but its not that difficult to use ( URL_http://sourceforge.net/projects/javavis/ [ URL_http://sourceforge.net/projects/javavis/ ] ) as in the sample code described in the following paper: URL_http://imai-software.com/openlab/data/IMAI- JOUNALVI.pdf#page=43 [ URL_http://imai-software.com/openlab/data/IMAI - JOUNALVI.pdf#page=43] (see from page 43) - that paper is quite good and for its length :).","[Bug, Usability]"
"AppFuse tries to do this, but it aims more at allowing you many different choices when it comes to web frameworks.","[Bug, Usability]"
"I can get access to the HttpServlet Request object in a soap web service as follows:Declaring a private field for the WebServiceContext in the service implementation, and annotate it as a resource: CODESNIPPET_JAVA1 .",[Bug]
"Would it not be adding a lot of complexity, in the implementation, for a simple problem?",[Bug]
But I would definitely recommend using JAX-RS.,[Bug]
I provides a great introduction to REST: what it is and how to implement a (practical) RESTful web service.,[Bug]
"For example, Restlet can easily work with remote resources using its HTTP client connector.","[Bug, Usability]"
Overview of a REST architecture** Lets step back a little and consider typical web architectures from a REST point of view.,"[Bug, Performance]"
However on the client side there seems to be something missing that is comparable to Apache Axis for SOAP - something that hides the web service and marshals the data transparently back to Java objects.,[Bug]
Java GUI frameworks.,[Bug]
"AWT, Swing and SWT are UI toolkits but I would certainly not call them frameworks.",[Bug]
You could argue that Swing was good to begin with but we all know that code rots.,[Bug]
"But some are slow, some are buggy, some are incomplete.",[Bug]
My first impression was a nice one.,"[Bug, Portability]"
@David: Good catch.,"[Bug, Usability]"
cant pivot be applied for desktop applications?,[Bug]
+1 Base your development on Swing.,[Bug]
It is no longer maintained and the support for it has been removed from NetBeans.,[Bug]
"@a_horse_with_no_name that right with same progress in SWT, SwingX, new owner, new maniers.",[Bug]
"I am making the exact same decision at the moment, and Swing is my candidate, simply for the fact that it is the most mature, yet realistic option available.",[Bug]
"Furthermore, as far as I understand, JIDE is flexible with regards to letting open source projects use their components in exchange for a link to their website or a logo in the About dialog.",[Bug]
"Im a big fan of JetBrains, and when it comes to Java, URL_http://www.jetbrains.com/idea/index.html [IntelliJ] is the best IDE I have used.","[Bug, Usability]"
Of course you should use Netbeans for building Java Swing GUI.,[Bug]
Desktop applications usually have to be obfuscated.,"[Bug, Usability]"
 Features: AWT components do not support features like icons and tool-tips.,[Bug]
This is patently false.,[Bug]
