label,data
NIO has a Charset (not CharSet) class called java.nio.charset.Charset.,[Others]
Another option is to use URL_http://qt-jambi.org/ [Qt-Jambi] .,[Others]
128 bit data encryption using Java.,[Usability]
Why ask?,[Others]
I am planning on making a Java Swing application and was wondering if Swing is still used or if it has been replaced with something else.,[Others]
"rather than using native APIs like DirectX on Windows: false, Swing uses Java2D, which may use DirectX when supported.",[OnlySentiment]
A + B is a contrived example for sure.,[Portability]
I mean does it save time?,[Performance]
"Naturally, there is no correct answer here for me to accept.",[Usability]
Go through it and you can always ask question and problems.,[Performance]
But who just wants to do that?,[Others]
 There are a few open-source projects that can convert Java objects to JSON.,[Documentation]
"When we reinvent the wheel, we work twice as hard yet get to the finish line much later.",[Others]
I.e.,[Usability]
Then initialize the cipher with the key _and_ the initialization vector.,[Others]
Named entity recognition with Java.,[Others]
@User1 - I like using libraries in my code so I can get my job done faster.,[Others]
2.,[OnlySentiment]
Simplifies the caller code considerably.,[Usability]
The answer of whether the reward is greater than the cost is a decision not to be taken lightly.,[Usability]
"Yes, its still in use.",[Others]
Here is the relevant portion of the CODETERM9 file: CODESNIPPET_JAVA4 .,[Others]
"We use it for fairly high volumes, and it handles this without a complaint or a problem.",[Bug]
The Java tutorials have a good example of this in their URL_http://java.sun.com/docs/books/tutorial/uiswing/concurrency/index.html [lesson-in-concurrency] .,[OnlySentiment]
My question is: what are you doing running such an old version of JBoss?,[Others]
I am not interested in JBoss MQ but JBoss Messaging.,[Others]
"Works with Spring way of doing things, or is at least easy to make it work with Spring 3.",[Usability]
"URL_http://www.sqlparser.com/sql-parser-java.php [General-SQL-Parser-for-Java] is not open source, but is exactly what you are looking after.",[Performance]
"I ran some timing tests because time matters, always.",[Usability]
CODESNIPPET_JAVA1 .,[Others]
(Dang it!,[Documentation]
"I have a system where Im being fed strings from which I need to (on a best guess basis) remove URLs, anything which might be HTML and anything which might be a date - Ive found Natty is excellent for the latter, but Ive built exceptions for April, May and June, which are valid girls names.",[OnlySentiment]
"It is not Swing, but rather a planned enhancement to make building Swing applications much easier.",[Others]
Glassfish I never faced any such issues.,[Others]
"You may need security, persistence, basic user management, etc.","[Usability, Portability]"
The below code worked for me.,[Usability]
"Performance and ease of use (yes, Quality of API).",[Usability]
Heres an example of Spring Security 3.x of one of my projects:- CODESNIPPET_JAVA1 .,[Others]
"concise, but incomplete, it misses the fundamental reason to use StringBuilder/Buffer and that is to reduce or eliminate the re-allocation and array copy of the regular String concatenation behavior.","[Bug, Usability]"
After that there was the necessity of wrappers to support both LOG4J and java.util.logging.,[Others]
Any easy REST tutorials for Java?,[Usability]
"As others have mentioned, my best experience with Java SWING applications is with NetBeans.",[OnlySentiment]
"But as you said, either will integrate seamlessly with Swing.",[Usability]
The answer of whether the reward is greater than the cost is a decision not to be taken lightly.,[Others]
Simply hiding them would make the GUI look bad; they rather should not be added instead.,[Others]
"@Alfred, its easier once you get the hang of it.",[Others]
"You really, should be using IOUtils.copy(inputStream, writer, encoding); unless you really, know what youre doing, which people never do with character encoding related programming.",[Performance]
YMMV.,[Documentation]
"After all, its become the standard way of doing this with JPA, even if its a bit verbose...",[Others]
Why not just use a reader?,[Usability]
Which version of Axis are you using?,[Portability]
"Since the question asks specifically for a String, thats what I show, but if you can work with the CharBuffer returned by decode, the memory requirement is much less.",[Others]
Swing has a lot of rich components but are still lacking in some areas.,[Usability]
"Requring, as Doug put it, Frankensteining something.",[uOthers]
Were using JBoss (4.0.4 I think) to serve SOAP calls.,[Others]
"Cheers mate, I will try that when I can stop hiding from the big scary dead line looming over me :).",[Usability]
That is the netbeans one which has been ported.,[Others]
 Where as in swing components its the responsibility of to generate the view for the components.,[Others]
Can you update your original link?,[Portability]
So I gave it a try yesterday.,[Usability]
"There is no simple way to parse human language, as its construction is complex and it has tons of exceptions.",[Compatibility]
"Regarding memory, there shouldnt be any problem if you use a decently sized buffer (Id use at least 1MB to make sure the HD is doing mostly sequential reading and writing).",[Others]
I had been using Spring Security (version 3.1) for a few months and was quite happy with it.,[Usability]
What is todays de-facto-standard framework and which tools do you utilize to create java gui applications?,[Compatibility]
That leaves you with SwingX.,[Compatibility]
"Id suggest using slf4j, since it can use log4j as a backend if thats what you need.",[Performance]
Another option is URL_http://www.graphviz.org [GraphViz] which some people like.,[Others]
Many statements share custom constraints which we build by a SQL DSL.,[Others]
Good question.,[Security]
This is ridiculous.,[Others]
much better.,[Others]
Nikitas point is an excellent one: dont confuse mature with bad.,[Usability]
Why use ANTLR when you can implement your own parser generator?,"[Performance, Usability]"
Applet Portability: most Web browsers support AWT classes so AWT applets can run without the Java plugin.,[Others]
According to: URL_http://evilroundabout.blogspot.com.au/2009/11/javascript- printing-rhino.html [ URL_http://evilroundabout.blogspot.com.au/2009/11/javascript - printing-rhino.html] I should use: print(Hello world); but when I do I get: CODESNIPPET_JAVA1 .,[Others]
@Ronald: Erm... never mind that.,[Usability]
@S.Lott - Agreed.,[Usability]
"Furthermore, if your client is also java you can abstract the functionality into an interface and wrap it with a client side proxy fairly easily.",[Others]
"@offtopic but I dont like these databases being called NoSQL, it seems that the emphasis is on not having sql though the reality is that these database lack relational schema and thats why people want it not because they dont want to use sql.",[Usability]
It had a decent IDE for making Swing forms and such.,[Others]
"The latest release in that family is GFv2.1, with a GFv2.1.1 release scheduled in October (see URL_https://blogs.oracle.com/theaquarium/entry/schedule_for_glassfish_v2_1 [ URL_https://blogs.oracle.com/theaquarium/entry/schedule_for_glassfish_v2_1 ] ).",[Others]
"As you can see, I also added suitable code for the CODETERM1 case.",[Legal]
Dont forget to mention that theres a more preferable constructor in InputStreamReader that takes a CharSet.,[OnlySentiment]
] .,[Others]
"JBoss is more much popular, there are a lot of administrators, developers, who know it,so it is easier to find someone, who can develop on JBoss, there are also moreresources in the net.",[Performance]
"At the end of the day, I think choosing either of these two is more about your mental model - which of the two make more sense and is more intuitive for you?",[Usability]
"Open questions that shouldnt be open obviously cause so much more harm than closed questions that shouldnt be closed, so lets be thankful that people err on the side of closing questions.</sarcasm>.",[Usability]
Thanks for the shout out for the Dropwizard OpenID project.,[Others]
I encrypted a file using a passphrase then later I tried to decrypt using the same passphrase.,[Others]
"HTTPUnit has a great interface (not much code needed), but the latest version of it submits duplicate requests.",[Usability]
"The problem is, the application is developed in Java not python.",[Others]
"@Tovi7 It probably doesnt because most OOTB Collections already provide readable toString()s, whereas arrays dont.",[Usability]
The strange thing is that some servers will reply you back with strange ?,[Others]
