label,data
"sorry, too long for a comment... i cant understand: 1. why the hell are you using CODETERM1 ?",[Documentation]
Some parsers do not understand things like CSS.,[Documentation]
"what do you want exactly, then ?",[Documentation]
"It doesnt matter what its main job is, as long as it does what you want it to do.",[Documentation]
"Its an implementation of the HTML5 parsing algorithm, and Gecko is in the process of replacing its own HTML parser with a C++ translation of this one.",[Documentation]
I dont get you.,"[Documentation, Usability]"
The Sax parser runs through the document and calls callback methods of the user.,[uDocumentation]
Is there a (preferably free) Java analogue of .NETs XML serialization?,"[Documentation, Usability]"
Executing this code: CODESNIPPET_JAVA2 .,[Documentation]
The sample below demonstrates how to use Global and the print function.This will print Hello World!,"[Documentation, Security]"
And for the sake of completeness here are the other global functions defined by URL_https://github.com/mozilla/rhino/blob/master/toolsrc/org/mozilla/javasc ript/tools/shell/Global.java [Global] : CODESNIPPET_JAVA2 .,"[Documentation, Usability]"
How to trace a NullPointerException in a chain of getters.,[Documentation]
user/reference/views/breakpoints/ref-addexception_viewaction.htm [Here] is an explanation on how to add an exceptionbreakpoint in eclipse .,[Documentation]
You can set exception breakpoints in Eclipse as well.,[Documentation]
Fields dont play nicely with reflection.,[Documentation]
Getters and setters should be dumb if possible.,[Documentation]
"A getter is supposed to get the property, anything other than that and it is a side effect.",[Documentation]
"Changing a global variable, the state of an object or writing to a log is a side effect.",[Documentation]
"Now, highlight someObject and press CTRL+SHIFT+I (or right click and say inspect).",[uDocumentation]
"Its more about WHERE you break it up: Im talking about null checks at the beginning of constructors and methods before the actual logic of the code starts, so that youre not trying to break lines up in the MIDDLE of a method/piece of logic.",[Documentation]
Chained expressions like that are a pain to debug for NullPointerExceptions (and most other problems that can occur) so I would advise you to try and avoid it.,[Documentation]
In eclipse (and most IDEs) you can also use watch expressions to evaluate code running in the debugger.,[Documentation]
"We have some applications that sometimes get into a bad state, but only in production (of course!).",[Documentation]
"I tested this on a Windows box to prove that (1) the debugger port does not receive connections initially, and (2) throwing the TurnOnDebugger exception as shown above causes the debugger to come alive.","[Documentation, Community]"
I agree that common metrics ought to be exposed via JMX.,[Documentation]
"There may be a much better/easier solution, but I would do the following: 1.","[Documentation, Security]"
"Also, be careful.",[Documentation]
ToStringBuilder uses threadlocal!?!,[Documentation]
"The question explicitly says the class is a built-in collection, so toString() cant be modified.",[Documentation]
One idea is URL_http://en.wikipedia.org/wiki/Comet%5F%28programming%29 [Comet] .,[Documentation]
Those connections stay open until they time out or you send the client a message.,[Documentation]
This allows the server to (in effect) initiate communications.,[Documentation]
This just worked so we didnt look further for alternatives.,[Documentation]
I know of no such implementations.,[Documentation]
"Which, just... no.",[Documentation]
What may seem as non-essential to some can be absolutely essential to others.,"[Documentation, Usability]"
What applications could I use or how could I write one?,[Documentation]
To implement a progress bar correctly you will need to create your own implementation of a URL_http://java.sun.com/javase/6/docs/api/javax/swing/SwingWorker.html [CODETERM4] .,[Documentation]
"If not, you can use something like URL_http://tjws.sourceforge.net/#download [Tiny-Java-Web-Server] .","[Documentation, Usability]"
"I need the advice from someone who knows very well java and the memory issues.I have a large file (something like 1.5GB) and I need to cut this file in many(100 small files for example) smaller files.I Know generally how to do it (using a BufferedReader), but I would like to know if you have any advice regarding the memory, or tips how to do it faster.My file containt text, it is not binary and I have about 20 character per line.",[Documentation]
Then count the amount of bytes written instead of the amount of lines.,[Documentation]
You can know the file size in bytes beforehand.,[uDocumentation]
i would suggest adding a custom FilterOutputStream between the FileOutputStream (on the bottom) and OutputStreamWriter.,[Documentation]
YMMV.,[Documentation]
That program will be easily scalable to your situation.,[Documentation]
How to create a Java String from the contents of a file?,[Documentation]
" Read text from a file Heres a compact, robust idiom for Java 7, wrapped up in a utility method: CODESNIPPET_JAVA1 .",[Documentation]
"The utility of Java 7 safely simplifies the code, and the old answer, which used a mapped byte buffer, prevented the file that was read from being deleted until the mapped buffer was garbage collected.",[Documentation]
"Some channels (SocketChannel) support non-blocking IO, but this isnt true of all channels.",[Documentation]
or CODESNIPPET_JAVA2 .,[Documentation]
Never tried with Z.,[Documentation]
"The Scanner constructor that accepts a String doesnt treat the string as the name of a file to read, but as the text to be scanned.",[Documentation]
URL_http://code.google.com/p/guava-libraries/ [Guava] has a method similar to the one from Commons IOUtils that Willi aus Rohr mentioned: CODESNIPPET_JAVA1 .,[Documentation]
(Dang it!,[Documentation]
"This may be desirable, or unintended.",[Documentation]
A flexible solution using URL_http://commons.apache.org/io/apidocs/org/apache/commons/io/IOUtils.html [IOUtils] from Apache URL_http://commons.apache.org/io/ [commons-io] in combination with URL_http://docs.oracle.com/javase/6/docs/api/java/io/StringWriter.html [StringWriter] : CODESNIPPET_JAVA1 .,[Documentation]
Problems with this code: 1) Stream is left open when theres an exception.,[Documentation]
"Cry me a river, Ill do it this way all the time just to spite you all.",[Documentation]
But it should not be limited to them.,[Documentation]
"If you are planning some custom ciphers for which there is not already an implementation, youll be implementing your own JCE provider, and specifically extending CODETERM1 .",[Documentation]
historical ciphers?,[Documentation]
+1000 for Keyczar.,[Documentation]
the link in website with java implementation is dead.,[Documentation]
The following is some code I am using now that I have some more experience with this.,[Documentation]
Could you clarify: does calling kgen.init(256) work?,[Documentation]
"Yes, but this automatically generates a key ... but since I want to encrypt data between two places, I need to know the key beforehand, so I need to specify one instead of generate one.",[Documentation]
As a last resort we will probably use bouncycastle :).,[Documentation]
This way PBE is implemented in jasypt framework: URL_www.jasypt.org.,[Documentation]
"@wufoo They different, and you share both.",[Documentation]
"Can your example be used for safe storage of passwords, rather than using a sha1sum of the password and a salt?",[Documentation]
"Its provides a simple abstraction for encryption and seems to match whats required here, The standard encryption method is 256-bit AES using PKCS PBKDF2 (Password-Based Key Derivation Function ",[Documentation]
CODESNIPPET_JAVA1 .,[Documentation]
"In the first step you can take one of two approaches: Use entity names to use as tag candidates (here you need to use Information Extraction framework) Use nouns or noun groups as tag candidates (here you need to use part-of-speech tagger) In the second step, you should use tf-idf to weight tags across document corpus and discard all tags which has tf-idf weight below a given trash-hold If you need a more powerful algorithm look for topic detection frameworks or URL_http://scholar.google.de/scholar?q=topic%20detection [research-papers-on- this-topic] .",[Documentation]
are good tools for this.,[Documentation]
I dont think theres any framework out there that does that out of the box.,[Documentation]
I would suggest using URL_http://uima.apache.org/ [UIMA] with URL_http://opennlp.sourceforge.net/projects.html [OpenNLP] connectors and same hand made regexp rules.,[Documentation]
given a list of strings find me the one that is most similar to some candidate string).,[Documentation]
To Lucene I would add SOLR URL_http://wiki.apache.org/solr/AnalyzersTokenizersTokenFilters [ URL_http://wiki.apache.org/solr/AnalyzersTokenizersTokenFilters ] .,"[Documentation, Performance]"
"Although slightly more verbose than the other Spring example, it is easier to read IMO.",[Documentation]
"It is as if the actual project code doesnt know the existence of the security... and that is good, because it allows me to easily detach or upgrade the security component in the future (ex: change database auth to LDAP/CAS auth).",[Documentation]
See more focussed question here: URL_http://stackoverflow.com/questions/7782720/when-to-move-from - container-managed-security-to-alternatives-like-apache-shiro.,[Documentation]
"I only had to extend 2 or 3 classes, and the whole thing took only about 25 lines of XML config in my spring context.","[Documentation, Usability]"
"So as a conclusion, on the ease of use and learning curve aspects, Shiro is really quite likeable, and I think I will probably go with it in the future, unless I encounter some features lacking or some other problem (which I havent so far).",[Documentation]
Just focus on using Acegi or plain old Java EE security which solves a lot of common web application security problems.,[Documentation]
"Edit: I have received comments requesting me to elaborate a bit, so here goes: The main problem we want to solve is that we want to have only one instance of Hibernate.",[Documentation]
"Also, the business/DAO/Hibernate stack is growing rather large, so not duplicating it just makes more sense.",[uDocumentation]
What about spring parentContext?Check out this article: URL_http://springtips.blogspot.com/2007/06/using-shared-parent-application- context.html [ URL_http://springtips.blogspot.com/2007/06/using-shared-parent - application-context.html] .,"[Documentation, Usability]"
"Terracotta transparently clusters Java objects at the JVM level, and integrates with both Spring and Hibernate.",[Documentation]
Check it out here: URL_http://reference.terracotta.org/examinator [ URL_http://reference.terracotta.org/examinator ] .,[Documentation]
"However, this will require some amount of changes in our code, so were not going to fully implement that solution right now.",[Documentation]
"This feels like a lot of hassle, considering that everything is on the same server anyway.",[Documentation]
"I fully understand why this happens, but it is not ideal for what were trying to achieve.","[Documentation, Usability]"
Ill post our findings here once weve done that job.,[Documentation]
Is your question about the locale (language) or the timezone?,[Documentation]
I will look it up.,[Documentation]
It would be the exact wrong choice for your requirements.,[Documentation]
Lotus Notes Domino would meet all of your requirements.,[Documentation]
Pelops is mavenized as well.,"[Documentation, Usability]"
"Kundera is a object-datastore mapping tool for Cassandra, Hbase and MongoDB.",[Documentation]
Most NoSQL data stores dont support the concept of a composite primary key - and some of them wont allow you unique columns in the first place.,[Documentation]
"I am using Spring Data Graph, and the neo4j, and I have read that composed Id arent allowed.",[Documentation]
Alternative/compatible datastores for App Engine?,[Documentation]
I developed code in Java using AWT.,[Documentation]
Here is part of code.,"[Documentation, Usability]"
Spend your time learning a more current API and its features.,[Documentation]
Im sure Swing has still a long life to live (at least 2 or 3 more years).,"[Documentation, Usability]"
"However, in August 2009, it was announced that the project would not be included due to an inability to reconcile design flaws and achieve consensus among the JSR 296 team before the milestone 5 deadline.","[Documentation, Security]"
You have to read input-values from widgets and store them in normal variables before a dialog is disposed.,"[Documentation, Others]"
"Because AWT uses native GUI widgets, your OS knows about them and handles putting them in front of each other, etc., whereas Swing widgets are meaningless pixels within a window from your OSs point of view.",[Documentation]
 Another statement which i saw is that is MVC based and awt is not.,[Documentation]
 .,"[Documentation, Legal]"
 1.,[Documentation]
 swing occupies less memory space.,[Documentation]
How to authenticate users from a rest service.,[Documentation]
"OAuth2 is going to be the most secure and RESTful approach; as for sending creds in plaintext, are you building a web front-end?","[Documentation, Usability]"
Maybe Im not following correctly.,[Documentation]
"google, github, etc.","[Documentation, Performance, Usability]"
"If you want a pure web form type approach, take a look at another of my projects URL_https://github.com/gary-rowe/MultiBitMerchant [MultiBit-Merchant] which provides multiple authentication methods (web form, HMAC, cookie).",[Documentation]
It took a 12M regular jpeg image and converted it to required format using gimp.,[Documentation]
"If all you are going to be doing is a service that returns text that is driven by URL parameters, so plain text returns, is a framework necessary?",[Documentation]
It would be rather simple to extract parameters in a servlet.,[Documentation]
I feel that it is potentially too much added complexity for the value it provides.,[Documentation]
Definitely an up vote!.,[Documentation]
I so agree with you!,[Documentation]
We are interested in fixing/improving what needs to.,[Documentation]
"Therefore, the suggested param value in web.xml is correct.","[Documentation, Usability]"
Could you confirm that this fixes your issue?,[Documentation]
Using HTTPConnection and manual parsing of the result?,[Documentation]
check this out: URL_http://igorpolevoy.blogspot.com/2011/01/java-rest-with - ease.html thanks igor.,[Documentation]
"I believe that Axis2 also exposes XML -> Model methods (Axis 1 hid this part, annoyingly).",[Documentation]
"The following is my understanding of the different frameworks, please correct me if im wrong.",[Documentation]
"By itself is pretty low-level, and it uses the platforms native widgets through JNI.",[Documentation]
Why is this?,[Documentation]
I think you confuse UI Toolkit and GUI framework.,[Documentation]
Can you package the native DLLs with your app?,[Documentation]
"If you need a native, pure Java solution, that leaves you with the rest.",[Documentation]
4.,[Documentation]
Support is there but I feel its more of a shiny toy than a serious UI framework.,"[Documentation, Usability]"
"The URL_http://eclipse.org [Eclipse-IDE] and all Eclipse-based Rich Client Applications, like the URL_https://www.vuze.com/ [Vuze-BitTorrent- client] , are built using SWT.",[Documentation]
The learning curve is a bit steep for the NetBeans platform (although I guess thats true for Eclipse as well) but there are some good books around which I would highly recommend.,[Documentation]
Other than that theres also: the URL_http://www.jetbrains.com/idea/ [IntelliJ-IDEA] visual editor ( URL_http://www.jetbrains.com/idea/features/gui_builder.html [flash-demo-of-the-features] ) and Eclipses URL_http://www.eclipse.org/vep/WebContent/main.php [Visual-Editor] Personally Ive used Netbeans and IDEAs visual editors.,[Documentation]
That is not true.,[Documentation]
Netbeans visual editor is not heavily based on Swing Application Framework at all unless you opt-in to use the framework in the beginning.,[Documentation]
+1.,[Documentation]
Netbeans is the simplest to use ( URL_http://netbeans.org/ [ URL_http://netbeans.org/ ] ).,[Documentation]
I recommend WindowBuilder plugin for Eclipse IDE 3.7.2 Indigo / 24 February 2012.,[Documentation]
Eclipse Visual Editor is pretty dull in my experience.,[Documentation]
It is archived at this point and was pretty frustrating to use in anything past 3.4.,[Documentation]
"When things become more complex, visual editors quickly loose their competitive edge.","[Documentation, Security]"
"It is realy awesome, it helps you while writing the code.",[Documentation]
Sun puts much more energy into making Swing robust.,"[Documentation, Performance, Usability]"
"I wouldnt recommend AWT, it gets very little love these days (other than the bits that are needed for Swing).",[Documentation]
 What?,[Documentation]
"In fact, its used as glorified RPC server, no more.",[Documentation]
Ive traced the leak to an instance of org.jboss.axis.message.SAX2EventRecorder that hold 4 million objects (strings and Integers).,[Documentation]
Its 2.5 years old.,[Documentation]
It will tell you what those 4 million objects actually contain which might give you insight into why the software isnt releasing that memory.,"[Documentation, Compatibility, Community]"
"There are 2 bug reports filed with Axis URL_https://issues.apache.org/jira/browse/AXIS-2698 [AXIS-2698] URL_https://issues.apache.org/jira/browse/AXIS-2749 [AXIS-2749] See also URL_https://issues.apache.org/jira/browse/AXIS-1771 [AXIS-1771] , it has some interesting information regarding deserialization and ways to mediate its impact.","[Documentation, Bug]"
"Voting back up: Arkadiy, it may have been unhelpful for you, but the way you phrased the question made it come across as newbie, especially since the title is Memory Leak in JBoss.",[Documentation]
:) .,"[Documentation, Community]"
" Option 1 Disable CODETERM1 (your second jboss-web.xml), bundle your Hibernate JARs into your app and add the following properties to your CODETERM2 (to avoid the issue youre facing): CODESNIPPET_JAVA1 .",[Documentation]
"Many thanks, Option 1 (which seems more elegant) worked for me with Hibernate 3.6.0.Final and JBoss 4.2.1.GA.",[Documentation]
Youll just want to keep that in mind as that above comparison is _very_ dated (not to mention probably biased).,"[Documentation, Community]"
Its deeply frustrating.,[Documentation]
"JBossMessaging is relatively feature-light, compared to ActiveMQ, but its rock-solid, well-documented and reliable.",[Documentation]
"Sometimes this is more important, then technical superiority ofone solution over another.",[Documentation]
(disclaimer: I work at Sun and I am in the GF team) I agree that Seam works fine on GlassFish; see URL_https://blogs.oracle.com/theaquarium/tags/seam [ URL_https://blogs.oracle.com/theaquarium/tags/seam ] GFv3 is quite different than JBoss 5; in particular: GFv3 is based on OSGi while JBoss 5s kernel is based on JMX.,[Documentation]
Your comparisons are disingenuous.,[Documentation]
A better Java JSON library?,[Documentation]
I have added a hyperlink to my parser in my answer ( URL_http://www.softwaremonkey.org/Code/JsonParser) .,[Documentation]
 There are a few open-source projects that can convert Java objects to JSON.,[Documentation]
URL_http://en.wiktionary.org/wiki/your_mileage_may_vary [YMMV] .,[Documentation]
"Actually, Gson does not use set methods when deserializing (nor does it use get methods when serializing).",[Documentation]
I second this.,[uDocumentation]
To wit: URL_http://jackson.codehaus.org/ .,"[Documentation, Bug]"
For me that is a HashMap/ArrayList Object.,[Documentation]
FWIW I didnt much care for the www.json.org parser either.,[Documentation]
"crtmbrcbk.invoke(crtprm,psr,tgt,nam,psr.getMemberValue()); What are you, Polish?",[Documentation]
Converting JSON to Java.,[Documentation]
I want to be able to access properties from a JSON string within my Java action method.,[Documentation]
So code could be simplified slightly.,[Documentation]
The full objects wont even be copied!,[Documentation]
"Which, if using the jsondriver and setting the proper settings, will encode ugly types into the actual json, so that you dont loose anything.",[Documentation]
Give boon a try: URL_https://github.com/RichardHightower/boon [ URL_https://github.com/RichardHightower/boon ] It is wicked fast: URL_https://github.com/RichardHightower/json-parsers-benchmark [ URL_https://github.com/RichardHightower/json-parsers-benchmark ] Dont take my word for it... check out the gatling benchmark.,[Documentation]
":) (and has a super low memory, direct from bytes mode with UTF-8 encoding on the fly).","[Documentation, Usability]"
"Yes, Im very familiar with Gson, and Jersey already uses Jackson, but converting JSON to and from POJOs is only one part of the problem, Im looking for an alternative to Jersey, which is a framework for building REST-HTTP APIs.",[Documentation]
If one existed Id prefer a HTTP framework that worked with Gson instead of Jersey as Im more comfortable with it.,"[Documentation, Others]"
Below is an example of using this mechanism to leverage MOXy as the JSON provider.,[Documentation]
This tutorial page shows how to do what Ive mentioned URL_http://wiki.restlet.org/docs_2.0/13-restlet/21-restlet/318-restl et/303-restlet.html [here] .,[Documentation]
"You can try URL_http://openjpa.apache.org/jest.html [JEST] , it works over URL_http://openjpa.apache.org/ [OpenJPA] .",[Documentation]
To use it you would have an object like this... CODESNIPPET_JAVA1 .,[uDocumentation]
As far as I know they are focused on text-based output formats.,"[Documentation, Usability]"
"Theres plenty of CSV libraries out there, including URL_http://commons.apache.org/sandbox/csv/ [Apache- Commons-CSV] .",[uDocumentation]
only a specific format which is defined by the company.,[Documentation]
"As always though, make your own measurements before committing to something you might regret.","[Documentation, Community]"
"Thanks for the remark about SSL, this will probably drive my decision.",[Documentation]
"XML-RPC looks interesting, but Im using SE, and I think adding/switching to EE is much more complicated than even NIO, but correct me if Im wrong (do they run on the same JVM?",[Documentation]
"Like another commentator mentioned, it does have its scalability issues.","[Documentation, Performance]"
"Having recently worked on a project which required some more IO interaction than Im used to, I felt like I wanted to look past the regular libraries (Commons IO, in particular) and tackle some more in depth IO issues.","[Documentation, Security]"
2.,"[Documentation, Usability]"
"Usually, there seems to be 1 of the 3 threads that is behind** significantly.",[uDocumentation]
"Well youre doing N-1 redundant seeks, and last time I looked at it, which is decades ago, seek was a surprisingly expensive operation.",[Documentation]
CODESNIPPET_JAVA1 .,[Documentation]
"Its not that difficult, just annoying.",[Documentation]
Code that is going to work on a single could be quite sure that default encoding will be fine.,[Documentation]
There is no optional case: either one or (more likely) the other is correct.,"[Documentation, Usability]"
"Sorry, after re-reading my comment, it comes off a little arrogant.",[Documentation]
Implementing the new String(...) with encoding is the responsibility of the on that uses the API!.,[Documentation]
Isnt there a reader.close() missing?,"[Documentation, Bug]"
"As an alternative to the Commons libraries, Googles excellent URL_http://code.google.com/p/guava-libraries/ [guava-libraries] let you do this fairly concisely; given an _InputStream_ named _inputStream_: CODESNIPPET_JAVA1 .",[Documentation]
CODESNIPPET_JAVA1 .,[Documentation]
make sure to close the streams at end if you use Stream Readers CODESNIPPET_JAVA1 .,[Documentation]
Regarding available: This will cut off data if the stream is longer than the buffer size.,"[Documentation, Usability]"
