label,data
"(3) Startup time depends which config you pick, it varies from around 3 seconds for a minimal config, to a minute or ttwo for the bells-and-whistles config.",[Others]
SAX is not what I want and main purpose of JTidy is cleaning an XML.,[OnlySentiment]
"If your class sticks to the JavaBeans specification for its getters and setters, this method is straightforward to use and you dont need a schema.",[Usability]
"(Apologies for labouring the point, but this simply doesnt correspond to my experience).",[Others]
* I disagree.,[Usability]
"btw, anltr is under BSD.","[Security, Usability]"
"I just commented on reference to expected good performance.Feature-set wise Jackson handles all the same nesting, layering, generics, so thats not where speed difference comes from.Having getters and setters does not impact performance in any measurable way (for packages I am aware of), so definitely can have them there.",[OnlySentiment]
"Heres the most elegant, pure-Java (no library) solution I came up with after some experimentation: CODESNIPPET_JAVA1 .",[Usability]
"Sure, they have done things to reduce complexity, like creating custom XML namespaces to reduce the quantity of XML configuration, but for me, these dont address _my_ personal fundamental issue with Spring Security: its names and concepts are often confusing in general to me.",[Usability]
Please correct me if Im wrong.,[Usability]
Are there other ideas or frameworks which offer lets say JMS over HTTP.,[Others]
It works though I still feel there is probably a better/cleaner solution.,[Portability]
[2] The original Swing Application Framework implementation has been put on hold indefinitely.,[Others]
Other posters talked about using XML-RPC.,[Usability]
"_Why doesnt java (which is the most widely used programming language in the world) have the same set of GUI components?_ Is it just that java has based their gui components at a much lower level, and it is possible to write all these advanced components that im looking for, but you have to do much if not all of the work yourself?",[Usability]
URL_http://xmlbeans.apache.org/ [XMLBeans] works great if you have a schema for your XML.,[Legal]
See the commet by ChristofferHammarstrm in the answer by HarryLime.,[Performance]
Could have been.,[Others]
"Alternatively, base it on an existing protocol, like URL_http://sourceforge.net/projects/juggle/ [this] project.",[OnlySentiment]
"Run the program in debug mode, allow the debugger to switch over to its perspective when the line is hit.",[Others]
(I am willing to map them to objects coz it will be much more comfortable for me to manipulate the fields inside each file via object) I wonder if any of you deal with such things before?,[Others]
The application organization is straight forward.,[OnlySentiment]
Or even more simple: new String(Files.readAllBytes(FileSystems.getDefault().getPath( filename)));.,[Others]
 and Customizable**You can choose whether the GUI code should be generated with fully qualified or simple class names.,[Usability]
BTW - I am the project lead for JBoss Messaging and HornetQ.,[Performance]
"I need a simple application, preferably a cross-platform one, that enables sending of files between two computers.",[Security]
"Most of the reasons why people hated swing when it first came out are no longer valid simply because of Moores Law, along with improved JVMs.",[Usability]
If your CODETERM15 is going to be less than 10k then initialize it with the constructor to 10k to be safe.,[Others]
"Now, you just need to use slf4j-logj12.jar to have commons logging and slf4j use log4j (or anything else you chose; btw, logback doesnt need an additional library to be used with slf4j) as a backing engine.",[Usability]
"Or read all bytes and use new String(bytes, charset)?",[Others]
Maybe we can get some votes to reopen this question?,[Usability]
"Most of our hand-written code concerned itself with connecting events to actions, simply asking the layout for the relevant controls.",[Others]
A safe and simple way could look like this CODESNIPPET_JAVA1 .,[Usability]
"See URL_http://slf4j.org/legacy.html Id use Logback, btw, but you could argue that Im biased.",[OnlySentiment]
Can we downvote all the people who voted this closed as not constructive?,[Security]
The provided GUI is very useful to quickly test the scripts.,[Performance]
": URL_http://mac.softpedia.com/get/Math-Scientific/JIRRM.shtml [ URL_http://mac.softpedia.com/get/Math-Scientific/JIRRM.shtml ] (Java based) URL_http://projectiris.co.uk/ [ URL_http://projectiris.co.uk/ ] (QT based -but there are more QT <-> Java bridges) but personally I havent used in production (just for testing) these 2 libraries since the documentation is not very good/detailed, and since this kind of problem is quite cutting edge so the documentation and an explanation paper is much more important than any source code.",[Security]
"HTMLUnit will work, but for me it has seemed to have limited support for Javascript.",[OnlySentiment]
@Per Wiklander I disagree with you.,[Usability]
"You can for example describe the query as a subquery and then serialize it via the SQLSerializer URL_http://www.querydsl.com/static/querydsl/2.9.0/apidocs/com/my sema/query/sql/SQLSerializer.html#serialize%28com.mysema.query.QueryMetadata,% 20boolean%29 If you want a more convenient way to get the SQL String and bindings for a Querydsl SQL query, just create a ticket for it and provide a suggestion how it should/could look like.",[Legal]
You could convert it to an array and then print that out with CODETERM1 : CODESNIPPET_JAVA1 .,[Others]
"what do you mean by support HTML4, javascript and CSS ?",[OnlySentiment]
and 1. i use straight and simple CODETERM6 2.,[uOthers]
If they may return CODETERM1 you should really check the return value each time.,[Usability]
"This can then be read and added to a CODETERM2 (we dont need CODETERM3 if we are not accessing it in multiple threads, and CODETERM4 is faster).",[Performance]
Generally I would default to using Log4J.,[Others]
Im looking for an API with the following requirements 1.,[Usability]
"Moreover, there is a huge amount of similarity between these logging frameworks resulting in duplication of effort, and confusion as to what logging environment you are actually in.",[Bug]
URL_https://cwiki.apache.org/PIVOT/frequently-asked-questions-faq.html [ URL_https://cwiki.apache.org/PIVOT/frequently-asked-questions-faq.html ] URL_http://en.wikipedia.org/wiki/Qt_Jambi [Qt-Jambi] A java wrapper to the native qt library which is written in c/c++.,[Others]
This technique is only useful if your tests identify the source of every possible NPE.,[Others]
Thanks for the shout out for the Dropwizard OpenID project.,[Others]
Can anyone offer some form of guidance as to how I can generate Java from this JSON string?,[Performance]
A pity I could only give you a +1.,[Usability]
"In order to make your code work, I had to use this.getClass().getClassLoader().getResourceAsStream() (using Eclipse with a maven project).",[Usability]
"As you can see, the result of encrypting P1, P2 and P3 (in that order) is different from encrypting P2, P1 and P3 (in that order).",[Others]
"Similar to the goal of Commons Logging, but more intuitive from my experience.",[Usability]
"Anyway, the only good way Ive found to find the NPE thrower in these cases is the following kind of refactoring: CODESNIPPET_JAVA1 .",[Usability]
"Um... having done some pretty extensive Swing across multiple platforms, I can tell you that it very much is not the same across platforms.",[Usability]
I am sorry.,[Security]
"However, this is probably good enough in many cases.",[Others]
Please fix your question to remove the vague and poorly- defined NoSQL and be more specific about what you want opinions on.,[OnlySentiment]
"This is for server-side use, Im mostly interested in performance for many concurrent gets and large file transfers.",[Usability]
Few that comes to mind: URL_http://couchdb.apache.org/ [CouchDB] URL_http://cassandra.apache.org/ [Cassandra] .,[Others]
CODESNIPPET_JAVA1 .,[Others]
"If you were feeling adventurous, you could mix Scala and Java and end up with this: CODESNIPPET_JAVA1 .",[Others]
The tiny key of DES can be broken in hours or days using a few thousand dollars worth of equipment.,[Usability]
I am assuming there is a fudge factor anyway.,[Others]
That is what commons logging does so why reinvent the wheel?,[Others]
"On the other hand, Acegi, or now aka Spring security, tackles a much higher layer in the securing web-application problem.",[OnlySentiment]
).,[OnlySentiment]
+1 Base your development on Swing.,[Bug]
And so you try to delete the folder before it is empty.,[Others]
"Its not free, but not that pricey either and it gives you a whole lot more tools under your belt.",[Others]
