label,data
Why is this?,[Documentation]
"I didnt test this personally, but the URL_http://community.jboss.org/message/565026 [following-thread] mentions two approaches that you could try (yeah, I know, its about JBoss 5 but it looks like the problem is identical).",[Performance]
"Plus, it encourages mistakes like yours where you are breaking up two literals that could otherwise be compiled as one.",[Usability]
this doesnt generate SQL and is a nightmare to debug when it doesnt follow the rule of least astonishment ( doesnt work as expected ).,[Security]
"Three connections can be faster than one, briefly at the start of a transfer.",[Usability]
Take a look at URL_http://www.jboss.org/jbosscache/ [JBossCache] .,[Security]
Whats Up with Logging in Java?,[Usability]
If you only wish to invoke a REST service and parse the response you can try out URL_http://code.google.com/p/rest-assured/ [REST-Assured] : CODESNIPPET_JAVA1 .,[Usability]
"If you are just reading straight through a file, this will most likely not get you much of anything.",[Performance]
You have a JSON object with several properties of which the CODETERM5 property represents an array of nested objects of the very same type.,[Bug]
"And it seems to be the most wide-spread, at least in the sites Ive visited.",[Usability]
Ive added the encoding.,[Usability]
"I would not generalize from that (certainly isnt representative), but it does factor into my decision of what to use in my scenario.",[Performance]
concurrent log4j.,[Usability]
"Charsets.UTF_8) for the CODETERM1 isnt necessary, but it is generally a good idea to specify the encoding if you know it (which you should!",[Community]
Complexity of HttpClient API simply reflects the complexity of its problem domain.,[Bug]
Unfortunately I do not know the library he wants.,[Usability]
"2) Once the security issues were resolved, JBoss threw IllegalArgumentException: object is not an instance of declaring class.",[Performance]
Pelops is mavenized as well.,"[Documentation, Usability]"
jmonkeyengine is only for games.,[Usability]
Swing is part of the java foundation classes.,[Community]
Choose Take GUI Snapshot to make a screenshot of the application GUI that serves as a basis of the Visual Debugger functionality.!,[Legal]
"Like I said, its not free but given the time it would take to make these things yourself youre probably better off using something that is already made.",[Usability]
"Too many places dont upgrade unless they absolutely have to, they just refuse to install the upgrades.",[Usability]
I could write a simple web service framework in a third of the time it takes me to understand the RESTlet architecture.,[uCommunity]
"After loading the project, look for URL_https://github.com/gary- rowe/MultiBitMerchant/blob/develop/mbm-client/src/main/java/org/multibit/mbm/c lient/interfaces/rest/auth/webform/WebFormClientAuthenticator.java [CODETERM1] which will get you in the right area.",[Compatibility]
I so agree with you!,[Documentation]
"If you dont like RMI, Spring offers a few other remoting options - Hessian, Burlap, and HttpInvoker (Springs custom remoting solution - Java serialization over HTTP).",[Bug]
I especially like being able to switch back and forth between using a tree model (similar to XML DOM) and object mapping.,[Bug]
What does the channel means.,[Usability]
CODESNIPPET_JAVA1 .,[Community]
"It looks like it uses reflection on bean-style properties and uses similar rules as Hibernate/JPA lazy-loading for serialization, so if you give it an object to serialize it will leave out collections (unless you tell it to include them) so you dont end up serializing the entire object graph.",[Bug]
e.g.,[OnlySentiment]
Code that is going to work on a single could be quite sure that default encoding will be fine.,[Documentation]
Gson is great.,[Bug]
i would suggest adding a custom FilterOutputStream between the FileOutputStream (on the bottom) and OutputStreamWriter.,[Documentation]
Im not aware of any built-in ability to encrypt connections to the debugging port.,[Usability]
"Also, if you are developing Eclipse plugins, you will typically use SWT.",[OnlySentiment]
"All things considered, this approach seems to work.",[OnlySentiment]
Were running out of memory when we have 20+ clients sending their requests at the same time.,[Usability]
 Reads the contents of a file into a String using the default encoding for the VM.,[Performance]
I got confused between facade and impl.,[Documentation]
"The whole point of using InputStream is, that a) you dont know the length of the _complete_ stream (which bails out anything depending on available) and b) the stream can be anything - a file, a socket, something internal (which bails out anything based on File.size()).",[Bug]
It really doesnt matter whether youre using CODETERM1 or not.,[Performance]
But creating a 256-bit key isnt enough.,[Usability]
"Having recently worked on a project which required some more IO interaction than Im used to, I felt like I wanted to look past the regular libraries (Commons IO, in particular) and tackle some more in depth IO issues.","[Documentation, Security]"
"As an alternative to the Commons libraries, Googles excellent URL_http://code.google.com/p/guava-libraries/ [guava-libraries] let you do this fairly concisely; given an _InputStream_ named _inputStream_: CODESNIPPET_JAVA1 .",[Documentation]
It does not depend on the Swing Application Framework at all.,[Usability]
I second Jackson in favour of FlexJson; FlexJson lacks a default Jax-RS provider and doesnt correctly parse generics (like SomeObject).Also Jackson has very elegant configuration (once you find out how to plug it in!),[uOnlySentiment]
Generally _a lot_ faster for large files.,[Usability]
Ive never looked at the source for Derby.,[Documentation]
"JavaFX havent long time any progress, lots of Swings Based Frameworks are stoped, if not then without newest version just my view - best of them is SwingX, but required deepest knowledge about Swing, URL_http://stackoverflow.com/questions/3954616/look-and-feel-in-java [Look- and-Feel] for Swings Based Frameworks .",[Usability]
"Its an implementation of the HTML5 parsing algorithm, and Gecko is in the process of replacing its own HTML parser with a C++ translation of this one.",[Documentation]
"You can also use some plugins for libraries from questions, pointed in comments, especially pay attention to URL_http://incubator.apache.org/opennlp/ [OpenNLP] and URL_http://gate.ac.uk/ [GATE] . ",[Usability]
"The whole point of using InputStream is, that a) you dont know the length of the _complete_ stream (which bails out anything depending on available) and b) the stream can be anything - a file, a socket, something internal (which bails out anything based on File.size()).",[Performance]
3.,[Usability]
Its hard to just get it.,[Usability]
"I tested this on a Windows box to prove that (1) the debugger port does not receive connections initially, and (2) throwing the TurnOnDebugger exception as shown above causes the debugger to come alive.","[Documentation, Community]"
Perhaps URL_http://jsqlparser.sourceforge.net/ [jsqlparser] will work for you.,[Bug]
One already exists - take a look at slf4j.,[uUsability]
Development recently moved from code.google.com to github.,[Usability]
"Now, when you start up your JVM everything is the same except that a background poller thread is started.",[Usability]
"The answer, in short, is it is deeply broken.",[Usability]
It tries to make Swing more pleasant to use.,[Usability]
You will need pull it apart to use it for something other than Derby.,[Security]
What to choose?,[Usability]
Changed to use StringBuilder.,[Usability]
URL_http://jersey.java.net/nonav/documentation/latest/json.html#json.pojo.appr oach.section [See-the-Jersey-documentation] .,[Usability]
"Technically speaking, its O(n) in time and space.",[Usability]
"Only works for closes streams, I believe.",[Usability]
"You feed the grammar to ANTLR, which spits out the lexer/parser classes that youll then compile and run.",[Security]
that format is TXT and I wanted to convert all those files to objects.. something like ORM.,[Usability]
"How to convert it to, and use it in, Android?",[Usability]
And how is this comment helping?,"[Performance, Usability]"
Secure Debugging for Production JVMs.,"[Bug, Performance]"
a JTable subclass which requires the model in the constructor) or we have component factories.,[Compatibility]
"While GSON has reasonable feature set, I thought performance was sort of weak spot (as per [ URL_http://www.cowtowncoder.com/blog/archives/2009/09/entry_326.html])As to example: I thought GSON did not really need setters, and was based on fields.",[Bug]
Swing itself handles your widgets layout and stacking.,[Usability]
I think this has the inconvenience os using the platform default encoding.,[uPortability]
+1 anyway :).,[Usability]
make sure to close the streams at end if you use Stream Readers CODESNIPPET_JAVA1 .,[Usability]
You can use java.lang.system.out.println.,[Bug]
"So as a conclusion, on the ease of use and learning curve aspects, Shiro is really quite likeable, and I think I will probably go with it in the future, unless I encounter some features lacking or some other problem (which I havent so far).",[Documentation]
I would suggest you look at DataInputStream and DataOutputStream.,[uUsability]
"If you have a deep bean structure, everything else will be implemented with dyna beans.",[Community]
"String, StringBuffer, and StringBuilder.",[OnlySentiment]
 Bar** The CODETERM1 in Swing is easy enough to use.,[Usability]
Ive been meaning to try URL_http://flexjson.sourceforge.net/ [Flexjson] .,[Usability]
"It is a technology suitable for nearly any application that requires full-text search, especially cross-platform.","[Usability, Community]"
"Many times, good enough is good enough.",[Usability]
"If you can, you will just have to use a FTP client (FileZilla for example, which have a progress bar).",[Portability]
"However, getting it to work properly and show current progress of the file transfer is slightly more difficult.",[OnlySentiment]
"Theres plenty of CSV libraries out there, including URL_http://commons.apache.org/sandbox/csv/ [Apache- Commons-CSV] .",[uDocumentation]
"The former is for funneling to your desired logging framework (log4j, logback, etc), the latter is to replace the used logging framework.",[Usability]
How to trace a NullPointerException in a chain of getters.,[Documentation]
"Yes, but this automatically generates a key ... but since I want to encrypt data between two places, I need to know the key beforehand, so I need to specify one instead of generate one.",[Documentation]
You could have a look at URL_http://www.restlet.org [Restlet] s client capabilities.,[uUsability]
"Give how complex it can be do to security right, Shiro is very simple to use.",[OnlySentiment]
"I investigated into javax.crypto package and found that there are certain Cipher names, like PBEWithMD5AndDES or PBEWithSHA1AndDESede which provides encryption upto 56 bit and 80 bit ( URL_http://en.wikipedia.org/wiki/DESede [ URL_http://en.wikipedia.org/wiki/DESede ] ).",[Usability]
"Were actually using a lightweight production profiler (Wily), but it isnt very good at capturing state information, and can only perform well when limited to coarse-grained traces.",[Usability]
Perhaps the old grammars dont run on the new version.,[Bug]
"In addition, if someone is using NetBeans,there is a number of smart wizards, that are very helpful.",[Usability]
"The only possible reason to use DOM is because its perceived as a standard and is supplied in the JDK: in all other respects, the others are all superior.",[OnlySentiment]
"Using JAX-RS, mainly via Apache CXF, for roughly two years now, Id always prefer it over plain Servlets.",[Usability]
I generally do not chain getters like this where there is more than one nullable getter.,[Usability]
"On the other hand, Acegi, or now aka Spring security, tackles a much higher layer in the securing web-application problem.",[OnlySentiment]
"As with JavaFX, its missing some higher level components like a tree table component ( URL_https://issues.apache.org/jira/browse/PIVOT-306 [PIVOT-306] ).",[Portability]
Log4j 2.0 is not a facade and does not advertise to be one.,[Usability]
Its how many threads per socket.,[Usability]
"If theres a mismatch, then youll care about encoding.",[Usability]
Have this connect to the server proxy.,[Usability]
Usually its the StringBuilder.,[Usability]
"I ran some timing tests because time matters, always.",[Usability]
Youve already identified one sub optimal condition of your software.,[OnlySentiment]
"Lastly, all these logging frameworks are WAY TOO COMPLICATED.",[Usability]
The new kid on the block which provides NIO support (although truthfully I dont think this really improves performance for clients like it does servers).,[Usability]
I would not start a large desktop application (or one that is going to be large) without a good platform that is build upon the underlying UI framework.,[Usability]
"JOOQ is maybe a better choice for hardcore SQL development, but Querydsl has a simpler API and supports also other backends (JPA, JDO, Lucene, Mongodb etc.",[Community]
"As an alternative to the Commons libraries, Googles excellent URL_http://code.google.com/p/guava-libraries/ [guava-libraries] let you do this fairly concisely; given an _InputStream_ named _inputStream_: CODESNIPPET_JAVA1 .",[Usability]
"new InputStreamReader(stream, UTF-8).",[Usability]
"If its text data and you need to split it along linebreaks, then using CODETERM3 is OK (assuming the file contains lines of a sensible lenght).",[Usability]
"I understand I can use flat files, blobs etc.",[Usability]
"Were planning on making a small servlet that, behind appropriate security, can allow us to turn on the debugger.",[Usability]
