label,data
"For RIA frameworks, consider also GWT and Vaadin.",[Usability]
"To save memory, do not unnecessarily store/duplicate the data in memory (i.e.","[Performance, Usability]"
Some of the frameworks that build on Shiro may offer more of what you are looking for.,[Others]
A document database has a very simple storage model and basic query abilities.,[Usability]
"Lastly, all these logging frameworks are WAY TOO COMPLICATED.",[Usability]
This code may give unpredictable results.,[Performance]
Im looking for some java libraries that can assist in password salt and MD5 .,[OnlySentiment]
How about this?,[Documentation]
The best known are URL_http://nekohtml.sourceforge.net/ [NekoHTML] and URL_http://jtidy.sourceforge.net/ [JTidy] .,[Usability]
"If speed turns out to be a problem, you could have a look at the CODETERM4 packages - those are supposedly faster than CODETERM5 , .",[Usability]
+1 for neo4j.,[Performance]
Perhaps the OS or hardware cache will alleviate that via prefetching.,[Others]
I attempted to get the response into a String 3 different ways.,[OnlySentiment]
"You would probably also want to send control headers prior to the actual file being sent, containing the size of the file, filename, etc.",[Others]
I thing that we both agree that this method isnt thread-safe in many ways.,[Compatibility]
Here is the benchmark and some results that we use internally: URL_http://wiki.apache.org/HttpComponents/HttpClient3vsHttpClient4vsHttpCore .,[Performance]
"For example, Restlet can easily work with remote resources using its HTTP client connector.","[Bug, Usability]"
"Overall but a few types from JAAS are directly used in Java EE, basically CODETERM1 , CODETERM2 , and CODETERM3 .",[Others]
[enter image description here]( URL_http://i.stack.imgur.com/uBnha.png ) .,[OnlySentiment]
I seems to me that the finally block does not know variables defined in the try block.,[Others]
The MapUtils class offered by the Apache Commons project offers a MapUtils.debugPrint method which will pretty print your map.,[Usability]
Usually I use URL_http://jaxb.java.net/ [jaxb] or URL_http://xmlbeans.apache.org/ [XMLBeans] if I need to create objects serializable to XML.,[Usability]
"But then a new project came along, with more complex security requirements.",[OnlySentiment]
"Heres the most elegant, pure-Java (no library) solution I came up with after some experimentation: CODESNIPPET_JAVA1 .",[Portability]
"But really your performance will be limited by the network bandwidth, not CPU bandwidth.",[Usability]
And how do I get rid of it?,[Usability]
"I took it from recent discussion on comp.lang.java.gui (I was the autor of this post so I could do it rightfully), URL_http://groups.google.com/group/com p.lang.java.gui/browse_thread/thread/3722f92594039d24/1f0b605efebb1b39#1f0b605 efebb1b39 [here] is the link to whole discussion.",[Others]
Seems like Ive found the source of problem and its fixed in later versions: URL_http://apache-pivot-users.399431.n3.nabble.com/Expanders-Cause-Increased-CPU - and-Memory-Use-td4022102.html.,[Usability]
You should give -1 only if it is giving faulty info.,[Usability]
Both are quite good but I prefer the latter.,[Others]
Or even more simple: new String(Files.readAllBytes(FileSystems.getDefault().getPath( filename)));.,[Others]
"Most servers have built-in SPNEGO support, so you shouldnt have to code something like an applet to do your authentication.",[Usability]
It is not related to Swing and AWT at all.,[Others]
"Well: there arent so many good HTML parsers in java as you need, but here are some alternatives: URL_http://java-source.net/open-source/html-parsers [http ://java-source.net/open-source/html-parsers] Very few of them support Javascript.",[Usability]
"As a consequence i do not know if it has a beautifier, but writing one on top should be straight forward enough.",[Others]
"Yes, but this automatically generates a key ... but since I want to encrypt data between two places, I need to know the key beforehand, so I need to specify one instead of generate one.",[Documentation]
"The typical solution is to use EJB, but I think spring has remoting options built into its stack.",[Others]
"Java EE 6 Tutorial assumes understanding basic security concepts, so a little overview of JAAS wont hurt.",[Others]
Logging by default blocks hard (if you need to log for real).,[Others]
"Prior to Spring Security 3.x, Spring Security (or Acegi) was very painful to set up.",[Others]
"I only had to extend 2 or 3 classes, and the whole thing took only about 25 lines of XML config in my spring context.","[Documentation, Usability]"
 ...?,"[Bug, Usability]"
"As for your business objects, you can use Terracottas URL_http://www.terracotta.org/web/display/orgsite/Spring+Integration [Spring- integration] to cluster your beans - each web app can share clustered bean instances, and Terracotta keeps the clustered state in synch transparently.",[Usability]
"As you can see, the result of encrypting P1, P2 and P3 (in that order) is different from encrypting P2, P1 and P3 (in that order).",[Others]
I dont know.,[Others]
What does that matter?,[Performance]
@Rothschilde should be refunded.,[Usability]
You can see how this degenerates to of re-allocations and copies which is what you really are trying to avoid using CODETERM16 in the first place.,[Others]
"We would like to share this stack with another web application, to avoid having multiple instances of the same objects.",[Usability]
URL_http://www.antlr3.org/grammar/list.html [ANTLR] has an ANSI SQL grammar available.,[Usability]
"For the exact same behaviour, but thats obvious, do: StringUtils.leftPad(, 10, *);.","[Usability, Community]"
Gson uses the specified class as the primary specification for deserialization.,[Others]
A 16-byte random initialization vector is also applied so each encrypted message is unique.,[Others]
since default serializations for different languages are different.,[Usability]
"@plasma147 Instead of downvoting, consider editing the example (I just submitted that, adding Closeables.closeQuietly(stream);).",[Usability]
"@PavelRepin @Patrick in my case, an empty inputStream caused a NPE during Scanner construction.",[Usability]
"Check out URL_http://www.rgagnon.com/javadetails/java-0542.html [this] tutorial, its a really basic example.",[Others]
"But before further reading: Can you tell me if I can use this API to implement cryptogrphic algorithms which are not part of the JCA, yet.",[Usability]
"But yes, I agree, since they do the same thing nowadays, it doesnt make sense ( 10 yrs ago was a reason to reject a change in a code revision ) :).",[Legal]
URL_http://www.querydsl.com/ [Querydsl] and URL_http://www.jooq.org [jOOQ] are two popular choices.,"[Compatibility, Usability]"
 Vendor Support: Swing development is more active.,[Usability]
I have done multiple projects in Swing on NetBeans and I know absolutely nothing about the SAF.,[Usability]
There are times however where an applet may serve a valid purpose.,[Others]
"java.nio is much more efficient, but can be hairy to code around.",[Others]
"It will only improve scalability, not memory use.",[Others]
But this can be an involved process.,[Usability]
"Please note, according to Java docs, the available() method might not work with InputStream but always works with BufferedInputStream.In case you dont want to use available() method we can always use the below code CODESNIPPET_JAVA2 .",[Others]
Thank you.,"[Compatibility, Usability]"
"When I ran into a problem, I could usually solve it quickly by looking at an example.",[Others]
How can I trace the probrem if I didnt avoid the NPE.,[Usability]
* I disagree.,[Usability]
"Problem with the security is, that usually you need to customize it to your needs, so you may end up implementing : - verifies userName + Password is used like this CODETERM1 CallbackHandler is passed to the underlying LoginModules so they may communicate and interact with users - prompting for a username and password via a graphical user interface, for example.",[Others]
@willcodejavaforfood: Sounds like a good decision.,"[Compatibility, Usability]"
We have a mix of 1.4.2 and 1.5 Sun JVMs running on Solaris 9 and Linux (Redhat Enterprise 4).,[Usability]
Yes I think slf4j is what Ill go with.,[OnlySentiment]
"Once the server uses the connection to send a message, a new connection needs to be opened up for the next message.",[Others]
Or may be configure it to be less memory-hungry?,[Others]
"Unfortunately we are building a product that is available on many JVMs, databases and app servers on many operation systems so we have to think for the users using poor machines... And a string operation optimizing can improve the perf by 30~40%.",[Usability]
"When we tried to do something that was compatible with openssl, only bouncycastle worked.",[Usability]
Simpler and better then other solutions.,[Usability]
Make sure you read the Readme-file on how to install it.,[Usability]
is there a chance to broke multi-bytes character in this solution?,[Usability]
Code above has a bug of adding extra new line char at the last line.It should be something like followingif(line reader.readLine() ) != null){ stringBuilder.append( line );}while (line reader.readLine() ) != null) { stringBuilder.append( ls ); stringBuilder.append( line );}.,[Performance]
I think this is the best way.,[Others]
or if you want raw speed Id propose a variation on what Paul de Vrieze suggested (which avoids using a StringWriter (which uses a StringBuffer internally) : CODESNIPPET_JAVA2 .,[uUsability]
"Sorry for the crappy answer, but it might be a good starting point if ALL ELSE fails.",[Usability]
"I would suggest creating a thin logging facade that can write to any of the logging frameworks, at which point the choice of backing engine become pretty much a moot point.",[Others]
Ive read all this before start using shiro.,[Compatibility]
?,[Bug]
"concise, but incomplete, it misses the fundamental reason to use StringBuilder/Buffer and that is to reduce or eliminate the re-allocation and array copy of the regular String concatenation behavior.","[Bug, Usability]"
"I do have the unlimited jurisdiction patch installed, so thats not the problem :) Ie.",[Usability]
"This may be the case in certain situations, but generally nio was written to be more _scalable_ than io, where scalable is not necessarily the same as faster.",[Others]
"All things considered, this approach seems to work.",[OnlySentiment]
"@PauldeVrieze how many lines, and how quickly do you need to process them!?",[Others]
