label,data
The type CODETERM6 setting is overriding the CODETERM7 type that it should be.,[Usability]
Does anyone know if theres an option to manually set the CODETERM8 type or have it ignored?,[Usability]
You dont need the dot since // searches in the entire document.,[Usability]
And more importantly try surrounding the element name with .,[Usability]
Resulting term should look like this: node=//xs:element[@name=bar-date].,[Usability]
What does the XSD look like?,[Usability]
"Please provide the xsd, without it its difficult to guess the issue, or recreate it.",[Usability]
the bar-date element should be defined with a xsd:date type.,[Usability]
CODETERM7 / CODETERM8 should always involve CODETERM9 s (at least for XML) 3. i really don see a good reason to arbitrarily remove a piece of a date representation.,[Usability]
No.,[Usability]
"If CSS is in a <style> tag, it will be interpreted as text.",[uUsability]
+1 for Web Harvest -- if you are trying to do page scraping it is the way to go.,[Usability]
The best known are URL_http://nekohtml.sourceforge.net/ [NekoHTML] and URL_http://jtidy.sourceforge.net/ [JTidy] .,[Usability]
"NekoHTML is based on Xerces, and provides a simple adaptable URL_http://nekoht ml.sourceforge.net/javadoc/org/cyberneko/html/parsers/SAXParser.html [SAXParser] which implements URL_http://java.sun.com/javase/6/docs/api/org/xml/sax/XMLReader.html [XMLReader] JavaSE interface.",[Usability]
Another choice could be to use URL_http://github.com/whymirror/hpricot [hpricot] through jRuby.,[Usability]
Why?,[Usability]
It should be DOM based.,[Usability]
"URL_http://about.validator.nu/htmlparser/ [Validator.nus-HTML-parser] , definitely.",[Usability]
A brief introduction from Apache Tika web site: The Apache Tika toolkit detects and extracts metadata and structured text content from various documents using existing parser libraries.,[Usability]
List of benefits: URL_http://tika.apache.org/1.4/parser.html Article with sample code: URL_http://www.openlogic.com/wazi/bid/314389/Content-mining-with-Apache-Tika .,[Usability]
you probably want to look at doing something like running Mozilla in headless mode.,[Usability]
"Well: there arent so many good HTML parsers in java as you need, but here are some alternatives: URL_http://java-source.net/open-source/html-parsers [http ://java-source.net/open-source/html-parsers] Very few of them support Javascript.",[Usability]
But this is also for transforming into well XMLs.,[Usability]
Doesnt it allow you to extract data from it?,[Usability]
Doesnt it allow to parse nasty HTML?,[Usability]
I dont get you.,"[Documentation, Usability]"
"Im searching the java library for parsing XML (complex configuration and data files), I googled a bit but couldnt found other than dom4j (Seems like they are working on V2)..",[Usability]
"I have taken look at commons configuration but didnt liked it, Other apache projects on XML seems under hibernation.",[Usability]
"Performance and ease of use (yes, Quality of API).",[Usability]
Examples shamelessly copied from some old lecture slides ;-) Edit: About which API shoild I use?.,[Usability]
"SAX is pretty easy to use too and just stay away from DOM if you dont have a really good reason to use it - old, clunky API in my opinion.",[Usability]
I want to note one thing: old doesnt mean bad.,[Usability]
Nikitas point is an excellent one: dont confuse mature with bad.,[Usability]
XML hasnt changed much.,[Usability]
It doesnt really much matter.,[Usability]
URL_http://download.oracle.com/javase/6/docs/api/javax/xml/parsers/SAXParserFa ctory.html [ URL_http://download.oracle.com/javase/6/docs/api/javax/xml/parsers/SAX ParserFactory.html] Example: URL_http://www.mkyong.com/java/how-to-read-xml-file-in-java-sax- parser/ [ URL_http://www.mkyong.com/java/how-to-read-xml-file-in-java-sax-parser/ ] You can use this parser if you need to do XPath queries or need to have the complete DOM available.,[uUsability]
You dont need an external library for parsing XML in Java.,[Usability]
"And of course, there are other styles of processing: low-level parser interfaces (SAX and StAX), data-object binding interfaces (JAXB), and high- level declarative languages (XSLT, XQuery, XPath).",[Usability]
Which is best for you depends on your project requirements and your personal taste.,[Usability]
DOM is a W3C standard ( URL_http://www.w3.org/DOM/) .,[Usability]
"JAXP is then implemented by different providers such as: Oracle, Apache, etc.",[Usability]
XML serialization in Java?,[Usability]
Is there a (preferably free) Java analogue of .NETs XML serialization?,"[Documentation, Usability]"
(its under BSD license).,"[Compatibility, Usability]"
Simpler and better then other solutions.,[Usability]
"You may want to look at URL_http://simple.sourceforge.net/ [Simple] , its the closest thing Ive found to the System.Xml.Serialization in .Net.",[Usability]
It does however require mapping annotations for each field.,[Usability]
You can change default behaviour and it will use only present fields.,[Usability]
JAXB is part of JDK standard edition version 1.6+.,[Usability]
CODETERM2 seems as easy and simpler as JAXB but I could not find any licensing information to evaluate it for enterprise use.,[Usability]
"XStream is not dead, it is just mature and stable -- meaning there isnt much to add to core functionality.",[Usability]
It creates Java objects for the schema and creates easy to use parse methods.,[Usability]
"If your class sticks to the JavaBeans specification for its getters and setters, this method is straightforward to use and you dont need a schema.",[Usability]
"With the following caveats: As with normal Java serialization coding and decoding run over a InputStream and OutputStream the process uses the familar writeObject and readObject methods In contrast to normal Java serialization the encoding but also decoding causes constructors and initializers to be invoked encoding and decoding work regardless if your class implements Serializable or not transient modifiers are not taken into account works only for public classes, that have public constructors For example, take the following declaration: CODESNIPPET_JAVA1 .",[Usability]
Usually I use URL_http://jaxb.java.net/ [jaxb] or URL_http://xmlbeans.apache.org/ [XMLBeans] if I need to create objects serializable to XML.,[Usability]
"Now, I can see that URL_http://xstream.codehaus.org/ [XStream] might be very useful as its nonintrusive and has really simple api.",[Usability]
Ill play with it soon and probably use it.,[Usability]
@Barak Schiller Thanks for posting link to XStream!,"[Compatibility, Usability]"
Dont forget URL_http://jibx.sourceforge.net/ [JiBX] .,[Usability]
Im using Rhino 1.7R4 and env.js 1.2 to run Javascript code inside Java I want to print from my Javascript code a string to the Java console.,[Usability]
 twice to stdout.,[Usability]
I discovered this through experimentation after digging through the URL_https: //github.com/mozilla/rhino/blob/master/toolsrc/org/mozilla/javascript/tools/sh ell/Main.java [Rhino-shell-executable] .,[Usability]
And for the sake of completeness here are the other global functions defined by URL_https://github.com/mozilla/rhino/blob/master/toolsrc/org/mozilla/javasc ript/tools/shell/Global.java [Global] : CODESNIPPET_JAVA2 .,"[Documentation, Usability]"
"I dont think that will work in embedded mode, I think that will only work in the Rhino console.",[Usability]
This should work:- CODESNIPPET_JAVA1 .,[Usability]
You can create your own: CODESNIPPET_JAVA1 .,[Usability]
"as of january, 2014, the list of methods and properties on CODESNIPPET_JAVA1 .",[Usability]
I get a rather useless exception text like: CODESNIPPET_JAVA2 .,[Usability]
"I find it rather hard to find out wich call actually returend null, often finding myself refactoring the code to something like this: CODESNIPPET_JAVA3 .",[uUsability]
"How can I avoid a NPE when using chained getters, 2.",[Usability]
How can I trace the probrem if I didnt avoid the NPE.,[Usability]
That way it should be easy to find the source of your NPE.,[Usability]
In production you cannot run your code in a debugger so any NPE will still generate an unhelpful stack trace.,[Usability]
"(This example may not make sense for your particular use case, but its one pattern for fixing this code smell.",[Usability]
" When your method creates local objects, that method can call methods on the local objects.",[Usability]
CODETERM5 .,[Usability]
Following this law has many more benefits apart from making NullPointerExceptions easier to debug.,[Usability]
"Anyway, the only good way Ive found to find the NPE thrower in these cases is the following kind of refactoring: CODESNIPPET_JAVA1 .",[Usability]
"There you have it, now NPE points to correct line and thus correct method which threw the actual NPE.","[Compatibility, Usability]"
"Not as elegant solution as Id want it to be, but it works.",[Usability]
"Wow, didnt ever try that because it seemed too easy.",[Usability]
I just thought Java would still treat it like one single line.,[Usability]
I will have a try on it...,[Usability]
The answer depends on how you view (the contract of) your getters.,[Usability]
If they may return CODETERM1 you should really check the return value each time.,[Usability]
") instead of returning CODETERM4 , that you promised never to return.",[Usability]
"Getters should never contain side-effect logic, this muddles the code and causes even more confusion than the original problem.",[Usability]
"@rblasch: I really like that answer, as it points me to the original problem: There are methods which may return null, and others that may not.",[Usability]
It seems a rather good idea to check if it fullfills its contract.,[Usability]
An exception instead of returning a value isnt.,[Usability]
"I.e., setters and getters.",[Usability]
"And it is a side-effect because it performs an action that is not the intent of a method, ...",[Usability]
"An exception that the property is null is a side-effect of invoking the getter, because it is something that occurred within the getter method invocation that forces the caller to adapt to its effects directly, instead of indirectly via a null check.",[Usability]
I generally do not chain getters like this where there is more than one nullable getter.,[Usability]
If youre running inside your ide you can just set a breakpoint and use the evaluate expression functionality of your ide on each element successively.,[Usability]
But youre going to be scratching your head the moment you get this error message from your production server logs.,[Usability]
Meanwhile we can dream of URL_http://groovy.codehaus.org/Operators#Operators- SafeNavigationOperator(%3F.,[Usability]
) [groovys-safe-navigation-operator] .,[Usability]
"If the result of a computation or database lookup is null, when I expected something different then IllegalStateException is a valid choice.",[Usability]
Is it non-null?Then highlight someObject.getSomething() (including the parenthesis) and inspect it.Is it null?,[Usability]
But this just encourages programming that spots the bug in the wrong place.,[Usability]
"I dont see how any early checking can be done without breaking the single statement into multiple, essentially following the style rule you disapprove of.",[Usability]
I am afraid I am not getting it.,[Usability]
You may want to refer to URL_http://stackoverflow.com/questions/271526/how-to- avoid-null-statements-in-java#271874 [this-question-about-avoiding-!=-null] .,[Usability]
We have a mix of 1.4.2 and 1.5 Sun JVMs running on Solaris 9 and Linux (Redhat Enterprise 4).,[Usability]
How can we enable secure debugging?,"[Performance, Usability]"
" For JDK 1.5+ JVMs, one can specify an interface and port to which the debugger should bind.",[Usability]
"Were planning on making a small servlet that, behind appropriate security, can allow us to turn on the debugger.",[Usability]
" I ended up writing three classes: (1) TurnOnDebuggerException, a plain ol Java exception, (2) DebuggerPoller, a background thread the checks for the existence of a specified file on the filesystem, and (3) DebuggerMainWrapper, a class that kicks off the polling thread and then reflectively calls the main method of another specified class.",[Usability]
This is how its used: 1.,[Usability]
3.,[uUsability]
Configure the debugger on the command line with the onthrow=com.whatever.TurnOnDebuggerException part added 4.,[Usability]
"Now, when you start up your JVM everything is the same except that a background poller thread is started.",[Usability]
You could easily build a little war file that achieved the same purpose via a socket connection.,[Usability]
"Of course, since we cant turn off the debugger, well only use it to gather data before killing off a sick application.",[Usability]
If you use SSH you can allow tunneling and tunnel a port to your local host.,[Usability]
"No development required, all done using sshd, ssh and/or putty.","[Bug, Usability]"
"If this works (testing now), it seems like the best option for us.",[Usability]
The alternate is to lock down the debug ports via a firewall (software or hardware.,[Usability]
) Maybe checkout ipchains for your linux hosts?,[Usability]
( URL_http://tldp.org/HOWTO/IPCHAINS-HOWTO.html) .,[Usability]
The problem I have (which I found out after my initial post) is that the 1.4.x Sun JVM can only bind to the default(?,[Usability]
Your situation is what JMX is designed for (the M stands for Management).,[Usability]
"Were actually using a lightweight production profiler (Wily), but it isnt very good at capturing state information, and can only perform well when limited to coarse-grained traces.",[Usability]
Wed actually be taking the badly behaving instance out of our load-balanced cluster before debugging.,[Usability]
Im not aware of any built-in ability to encrypt connections to the debugging port.,[Usability]
2.,[Usability]
"Run a proxy process on the host itself that connects to the port, and encrypts the input and output from the socket.",[Usability]
3.,[Usability]
Run a proxy client on the debugging workstation that also encrypts/decrypts the input.,[Usability]
Have this connect to the server proxy.,[Usability]
4.,[Usability]
"As a side note: Our production servers are behind a firewall, but they are exposed to some internal network segments.",[Usability]
I like it.,[Usability]
