label	data
0	I like XStream.
1	URL_http://www.querydsl.com/ [Querydsl] and URL_http://www.jooq.org [jOOQ] are two popular choices.
1	Most servers have built-in SPNEGO support, so you shouldnt have to code something like an applet to do your authentication.
0	If not, assert it (if you can).
1	Advantages: Single language skills?
0	In this case, the standalone mode is probably a better fit.
1	[enter image description here]( URL_http://i.stack.imgur.com/HRrVE.gif ) here is a picture URL_http://netbeans.org/ [netbeans] built in URL_http://netbeans.org/features/java/swing.html [Gui-Builder] :** !
1	But one thing that should help you specifically is that one of the later chapters of the book contains overviews of several RESTful frameworks, including Restlet.
1	URL_http://www.antlr3.org/grammar/list.html [ANTLR] has an ANSI SQL grammar available.
1	@Per Wiklander I disagree with you.
0	Funnily enough I have just ordered RESTful Web Services on Amazon before I read your post.
0	But who just wants to do that?
1	Its old but should help with the JAAS basics.
0	I provides a great introduction to REST: what it is and how to implement a (practical) RESTful web service.
1	The alternative is to poll for changes at regular intervals, but that may create a delay in the event reaching a client.
0	As with JavaFX, its missing some higher level components like a tree table component ( URL_https://issues.apache.org/jira/browse/PIVOT-306 [PIVOT-306] ).
0	Note that if you are using Java 5 or newer, you should use CODETERM1 instead of CODETERM2 .
0	URL_http://lucene.apache.org/java/docs/index.html [ URL_http://lucene.apache.org/java/docs/index.html ] .
1	Using the URL_http://commons.apache.org/io/api-1.4/org/apache/commons/io/FileU tils.html#deleteDirectory%28java.io.File%29 [FileUtils.deleteDirectory()] method can help to simplify the process of deleting directory and everything below it recursively.
0	Note.
0	The program asks for the next element when its ready just like a cursor/iterator.
0	If it was rubbish, I would not have been motivated to correct one minor misunderstanding.
1	But this just encourages programming that spots the bug in the wrong place.
1	Probably.
0	For some projects we put together, logging framework was more driven by the open source frameworks we were using.
1	Is Java Swing still in use?
1	Ive used URL_http://json-lib.sourceforge.net/ [JSONLib] , URL_http://flexjson.sourceforge.net/ [FlexJSON] and URL_http://code.google.com/p/google-gson/ [Gson] all with great success.
1	@jmort253 We noticed performance regression after updating some library in our product for several times.
1	4.
1	Id recommend taking a look at Apache Shiro: URL_http://shiro.apache.org/ [ URL_http://shiro.apache.org/ ] It handles the security portion of your application and gives you a great deal of flexibility in how to secure things.
0	but for the 98% case, I think its pretty solid.
0	You to know and specify the character encoding for the stream, or you have character encoding bugs, since you will be using a randomly chosen encoding depending on which machine/operating system/platform or version thereof your code is run on.
1	A nice way to do this is using URL_http://commons.apache.org/ [Apache-commons] URL_http://commons.apache.org/proper/commons- io/apidocs/org/apache/commons/io/IOUtils.html [IOUtils] to copy the CODETERM1 into a CODETERM2 ... something like CODESNIPPET_JAVA1 .
1	It has many problems and I imagine a lack of direction lead it into the mess it is today.
0	see update in my answer.
1	In order to make your code work, I had to use this.getClass().getClassLoader().getResourceAsStream() (using Eclipse with a maven project).
1	Anyway, what is the content of the objects in the SAX2EventRecorder?
1	The number of connections youre talking about tells me you should use java.net.
1	 more edit:** nixed try/catch, Patricks way is more laconic.
1	With Terracotta you can cluster a single Hibernate L2 cache.
0	 Option 2 Disable CODETERM3 (your second jboss-web.xml), bundle your Hibernate JARs into your app and override the hibernate-validator JARs CODETERM4 
0	); I am also in the company behind Querydsl.
0	Can you make some examples, please?
0	URL_http://java.sun.com/javase/6/docs/api/java/net/HttpURLConnection.html In particular, getHeaderField, getHeaderFieldKey, and getContent.
0	If youre looking for a simple stable implementation of a NoSQL DB system, look no further than Apache (they have over 10 years of development experience).
0	Note that the second parameter (i.e.
0	) See also the URL_http://c2.com/cgi/wiki?LawOfDemeter [Law-of-Demeter] , which says: Your method can call other methods in its class directly Your method can call methods on its own fields directly (but not on the fields fields) When your method takes parameters, your method can call methods on those parameters directly.
1	My impression is that if the underlying model uses lazy loading, then thats enough.
0	Because such a constructor does not exist, and you cannot extend from String, you have either to create a wrapper class or a method to do this for you.
0	I have tried both shiro and spring security, and I personally feel the shiro is quite easy to understand where as spring security feels complex.
0	In fact i failed to find it so ended up doing my own thing (based on the h2 parser - you can contact me if all else fails).
1	The WindowBuilder items are under General Purpose Tools (or use the filter) Older versions and zips are available at URL_http://www.eclipse.org/windowbuilder/download.php [ URL_http://www.eclipse.org/windowbuilder/download.php ] .
1	If you actually dont worry about txt lines, then I would rather use InputStream/OutputStream instead and count the transferred bytes.
1	 This means that your fully qualified name for your class is so we had to alter web.xml to refer to the correct class e.g: original: CODESNIPPET_JAVA1 .
1	It also has a very fast JSON lax mode and a PLIST parser mode.
0	The requests consist of the incoming rather small request (proper SOAP) and the returning result packet that is essentially one long SOAP string (and the contents of the string are XML).
0	If you want a serialization like DOT NET then you could use URL_http://java.sun.com/products/jfc/tsc/articles/persistence3/ [Long-Term- Persistence-of-JavaBeans-Components] The choice depends on use of serialization.
1	Since it is a web application, there are greater chances of multiple threads accessing this component at a time.
1	etc.
0	You can use apache commons.In the IOUtils you can find the toString metod with 3 helpfull implementations.
0	So best keep max one nullable item per line.
1	Best not to leave this kind of thing to chance :).
0	From previous questions I found great example of authenticating with openID on github: URL_https://github.com/gary-rowe/DropwizardOpenID [ URL_https://github.com/gary-rowe/DropwizardOpenID ] However, I dont want to deal with openID at the moment and simply want users to 1.
1	Thats exactly what ( a modern ) compiler does.
0	Specifically you have to add the parameters inside the constructor of the URL.
1	If you have a choice here, you should prefer Qt over SWT.
1	And I am glad I did, because after a day working on it I managed to learn enough about the APIs not only to set up a basic authentication and authorization system in my Spring webapp without trouble, but also to implement the custom SSO behaviour I was looking for.
1	I dont want to store passwords in plain text.
0	Please fix your question to remove the vague and poorly- defined NoSQL and be more specific about what you want opinions on.
1	@Adam: It really depends on what kind of Stream youre working with.
0	UPDATE: A year ago I started actually using Jackson and I can confirm that it is awesome :-).
1	CODESNIPPET_JAVA1 .
1	UTF-8,the JDK will take the default encoding that is taken from System.getProperty(file.encoding,UTF-8); CODESNIPPET_JAVA1 .
0	What is the level of query complexity that you achieved to reach with the JPA Criteria API, without making the query utterly unreadable?
1	AppScale is open source and lets you run your GAE app on EC2 or your own cluster.
0	Quick to do at first (and a good learning experience), but slow to maintain for production.
1	For example, to reduce the access to disk, you can use a large buffer.
0	I will look it up.
0	I didnt like it much so wrote a new one that we now use in my company.
1	I do have the unlimited jurisdiction patch installed, so thats not the problem :) Ie.
1	I would recommend this, if you really want to support a lot of HTTP servers/clients with minimum code.
1	Aggree that the docs are lacking somewhat, but, IDE support is pretty good, and, googling usually gets you some decent usage examples.
0	My choice is Glassfish: it is faster to start-up, to deploy web applications.the Admin console is very accurate, moreover it is both graphical and command-line.Now it is fully-supported by Oracle, its future is not uncertain any more.It is based upon OSGi: it is really modular.You can install Spring-osgi applications easly.You can freely choice between Eclipse Link , Apache Open JPA and Hibernate without pain.It is greatly integrated in NetBeans (and, of course, Eclipse).
1	Thanks for reply; but it gives error The method toJSONString() is undefined for the type JSONObject at jsonArray.push(jsonObj.
0	I agree that common metrics ought to be exposed via JMX.
1	@Igal I didnt measure it.
1	@Barak Schiller Thanks for posting link to XStream!
0	Serializing is simple.
0	Convert Java AWT code to Android.
1	You probably read something about the Swing Application Framework, which while _built using_ Swing, is not Swing.
1	below is the code i am using.. CODESNIPPET_JAVA1 .
